mouse_ensembl_gene,times_equal_or_more_extreme,p,mouse_symbol,q,aPD1_H_21,aPD1_S_69,aPD1_90,untreated_H_79,untreated_S_27,untreated_106
ENSMUSG00000020581,1000000,1.0,Agr2,1.0,0,0,0,0,0,0
ENSMUSG00000020583,1000000,1.0,Matn3,1.0,0,0,0,0,0,0
ENSMUSG00000020585,1000000,1.0,Laptm4a,1.0,0,0,0,1,0,1
ENSMUSG00000020589,1000000,1.0,Fam49a,1.0,0,0,0,0,0,0
ENSMUSG00000020590,718681,0.7186812813187187,Snx13,1.0,0,1,1,0,0,0
ENSMUSG00000020591,1000000,1.0,Ntsr2,1.0,0,0,0,0,0,0
ENSMUSG00000020592,1000000,1.0,Sdc1,1.0,0,0,0,0,0,0
ENSMUSG00000020593,1000000,1.0,Lpin1,1.0,0,0,0,0,0,0
ENSMUSG00000020594,209919,0.20991979008020992,Pum2,1.0,1,0,1,0,0,0
ENSMUSG00000020598,718847,0.7188472811527189,Nrcam,1.0,0,1,1,0,0,0
ENSMUSG00000020599,1000000,1.0,Rgs9,1.0,0,0,0,1,0,1
ENSMUSG00000020601,1000000,1.0,Trib2,1.0,0,0,0,0,0,0
ENSMUSG00000020604,718655,0.7186552813447187,Arsg,1.0,0,1,1,0,0,0
ENSMUSG00000020605,1000000,1.0,Hs1bp3,1.0,0,0,0,0,0,0
ENSMUSG00000020607,1000000,1.0,Lratd1,1.0,0,0,0,0,0,0
ENSMUSG00000020608,1000000,1.0,Smc6,1.0,0,0,0,0,0,0
ENSMUSG00000020609,1000000,1.0,Apob,1.0,0,0,0,0,0,0
ENSMUSG00000020610,1000000,1.0,Amz2,1.0,0,0,0,0,0,0
ENSMUSG00000020611,1000000,1.0,Gna13,1.0,0,0,0,0,0,0
ENSMUSG00000020612,1000000,1.0,Prkar1a,1.0,0,0,0,1,0,1
ENSMUSG00000020614,1000000,1.0,Fam20a,1.0,0,0,0,0,0,0
ENSMUSG00000020620,1000000,1.0,Abca8b,1.0,0,0,0,0,0,0
ENSMUSG00000020621,1000000,1.0,Rdh14,1.0,0,0,0,0,0,0
ENSMUSG00000020622,1000000,1.0,Nt5c1b,1.0,0,0,0,0,0,0
ENSMUSG00000020623,1000000,1.0,Map2k6,1.0,0,1,1,0,1,1
ENSMUSG00000020627,1000000,1.0,Klhl29,1.0,0,0,0,0,0,0
ENSMUSG00000020628,1000000,1.0,Trappc12,1.0,0,0,0,0,0,0
ENSMUSG00000020629,1000000,1.0,Adi1,1.0,0,0,0,0,0,0
ENSMUSG00000020630,1000000,1.0,Rnaseh1,1.0,0,0,0,0,0,0
ENSMUSG00000020633,717995,0.717995282004718,Dcdc2c,1.0,0,1,1,0,0,0
ENSMUSG00000020634,1000000,1.0,Ubxn2a,1.0,0,0,0,0,0,0
ENSMUSG00000020635,1000000,1.0,Fkbp1b,1.0,0,0,0,0,0,0
ENSMUSG00000020636,1000000,1.0,Allc,1.0,0,0,0,0,0,0
ENSMUSG00000020638,1000000,1.0,Cmpk2,1.0,0,0,0,0,0,0
ENSMUSG00000020639,1000000,1.0,Pfn4,1.0,0,0,0,0,0,0
ENSMUSG00000020640,1000000,1.0,Itsn2,1.0,0,0,0,0,0,0
ENSMUSG00000020641,1000000,1.0,Rsad2,1.0,0,0,0,0,0,0
ENSMUSG00000020642,1000000,1.0,Rnf144a,1.0,0,0,0,0,0,0
ENSMUSG00000020644,1000000,1.0,Id2,1.0,0,0,0,0,0,0
ENSMUSG00000020646,717995,0.717995282004718,Mboat2,1.0,0,1,1,0,0,0
ENSMUSG00000020647,1000000,1.0,Ncoa1,1.0,0,0,0,0,0,0
ENSMUSG00000020648,1000000,1.0,Dus4l,1.0,0,0,0,0,0,0
ENSMUSG00000020649,1000000,1.0,Rrm2,1.0,0,0,0,0,0,0
ENSMUSG00000020650,1000000,1.0,Bcap29,1.0,0,0,0,0,0,0
ENSMUSG00000020651,1000000,1.0,Slc26a4,1.0,0,0,0,0,0,0
ENSMUSG00000020652,1000000,1.0,Cenpo,1.0,0,0,0,0,0,0
ENSMUSG00000020653,1000000,1.0,Klf11,1.0,0,0,0,0,0,0
ENSMUSG00000020654,1000000,1.0,Adcy3,1.0,0,0,0,0,0,0
ENSMUSG00000020656,1000000,1.0,Grhl1,1.0,0,0,0,0,0,0
ENSMUSG00000020657,1000000,1.0,Dnajc27,1.0,0,0,0,0,0,0
ENSMUSG00000020658,1000000,1.0,Efr3b,1.0,0,0,0,0,0,0
ENSMUSG00000020659,1000000,1.0,Cbll1,1.0,0,0,0,0,0,0
ENSMUSG00000020660,1000000,1.0,Pomc,1.0,0,0,0,0,0,0
ENSMUSG00000020661,1000000,1.0,Dnmt3a,1.0,0,0,0,0,0,0
ENSMUSG00000020664,1000000,1.0,Dld,1.0,0,0,0,0,0,0
ENSMUSG00000020668,1000000,1.0,Kif3c,1.0,0,0,0,0,0,0
ENSMUSG00000020669,1000000,1.0,Sh3yl1,1.0,0,0,0,0,0,0
ENSMUSG00000020671,1000000,1.0,Rab10,1.0,0,0,0,0,0,0
ENSMUSG00000020672,1000000,1.0,Sntg2,1.0,0,0,0,0,0,0
ENSMUSG00000020673,1000000,1.0,Tpo,1.0,0,0,0,0,0,0
ENSMUSG00000020674,1000000,1.0,Pxdn,1.0,0,0,0,0,0,0
ENSMUSG00000020676,1000000,1.0,Ccl11,1.0,0,0,0,0,0,0
ENSMUSG00000020677,1000000,1.0,Ddx52,1.0,0,0,0,0,0,0
ENSMUSG00000020679,1000000,1.0,Hnf1b,1.0,0,0,0,0,0,0
ENSMUSG00000020680,1000000,1.0,Taf15,1.0,0,0,0,0,0,0
ENSMUSG00000020681,1000000,1.0,Ace,1.0,0,0,0,0,0,0
ENSMUSG00000020682,1000000,1.0,Mmp28,1.0,0,0,0,0,0,0
ENSMUSG00000020684,1000000,1.0,Rasl10b,1.0,0,0,0,0,0,0
ENSMUSG00000020686,1000000,1.0,Gas2l2,1.0,0,0,0,0,0,0
ENSMUSG00000020687,719704,0.7197042802957198,Cdc27,1.0,0,1,1,0,0,0
ENSMUSG00000020689,1000000,1.0,Itgb3,1.0,0,0,0,0,0,0
ENSMUSG00000020690,1000000,1.0,Efcab3,1.0,0,0,0,0,0,0
ENSMUSG00000020691,1000000,1.0,Mettl2,1.0,0,0,0,0,0,0
ENSMUSG00000020692,1000000,1.0,Nle1,1.0,0,0,0,0,0,0
ENSMUSG00000020694,1000000,1.0,Tlk2,1.0,0,0,0,0,0,0
ENSMUSG00000020695,1000000,1.0,Mrc2,1.0,0,0,0,0,0,0
ENSMUSG00000020696,1000000,1.0,Rffl,1.0,0,0,0,0,0,0
ENSMUSG00000020697,1000000,1.0,Lig3,1.0,0,0,0,0,0,0
ENSMUSG00000020698,1000000,1.0,Cct6b,1.0,0,0,0,0,0,0
ENSMUSG00000020700,1000000,1.0,Map3k3,1.0,0,0,0,0,0,0
ENSMUSG00000020701,1000000,1.0,Tmem132e,1.0,0,0,0,0,0,0
ENSMUSG00000020702,1000000,1.0,Ccl1,1.0,0,0,0,0,0,0
ENSMUSG00000020704,646693,0.6466933533066467,Asic2,1.0,1,3,4,0,2,2
ENSMUSG00000020705,1000000,1.0,Ddx42,1.0,0,0,0,0,0,0
ENSMUSG00000020706,1000000,1.0,Ftsj3,1.0,0,0,0,0,0,0
ENSMUSG00000020707,1000000,1.0,Rnf135,1.0,0,0,0,0,0,0
ENSMUSG00000020708,1000000,1.0,Psmc5,1.0,0,0,0,0,0,0
ENSMUSG00000020709,1000000,1.0,Adap2,1.0,0,0,0,0,0,0
ENSMUSG00000020715,1000000,1.0,Ern1,1.0,0,0,0,0,0,0
ENSMUSG00000020716,1000000,1.0,Nf1,1.0,0,0,0,0,0,0
ENSMUSG00000020717,718643,0.7186432813567186,Pecam1,1.0,0,1,1,0,0,0
ENSMUSG00000020718,1000000,1.0,Polg2,1.0,0,0,0,0,0,0
ENSMUSG00000020719,1000000,1.0,Ddx5,1.0,0,0,0,0,0,0
ENSMUSG00000020720,1000000,1.0,Psmd12,1.0,0,0,0,0,0,0
ENSMUSG00000020721,1000000,1.0,Helz,1.0,0,1,1,1,0,1
ENSMUSG00000020722,1000000,1.0,Cacng1,1.0,0,0,0,0,0,0
ENSMUSG00000020723,719291,0.7192912807087193,Cacng4,1.0,0,1,1,0,0,0
ENSMUSG00000020728,1000000,1.0,Cep112,1.0,0,0,0,1,0,1
ENSMUSG00000020732,1000000,1.0,Rab37,1.0,0,0,0,0,0,0
ENSMUSG00000020733,1000000,1.0,Slc9a3r1,1.0,0,0,0,0,0,0
ENSMUSG00000020734,1000000,1.0,Grin2c,1.0,0,0,0,0,0,0
ENSMUSG00000020736,1000000,1.0,Nt5c,1.0,0,0,0,0,0,0
ENSMUSG00000020737,718537,0.7185372814627186,Jpt1,1.0,0,1,1,0,0,0
ENSMUSG00000020738,1000000,1.0,Sumo2,1.0,0,0,0,0,0,0
ENSMUSG00000020739,1000000,1.0,Nup85,1.0,0,0,0,0,0,0
ENSMUSG00000020740,1000000,1.0,Gga3,1.0,0,0,0,0,0,0
ENSMUSG00000020741,1000000,1.0,Cluh,1.0,0,0,0,0,0,0
ENSMUSG00000020743,1000000,1.0,Mif4gd,1.0,0,0,0,0,0,0
ENSMUSG00000020744,1000000,1.0,Slc25a19,1.0,0,0,0,0,0,0
ENSMUSG00000020745,719001,0.719001280998719,Pafah1b1,1.0,0,1,1,0,0,0
ENSMUSG00000020747,1000000,1.0,Tmem94,1.0,0,1,1,1,0,1
ENSMUSG00000020752,1000000,1.0,Recql5,1.0,0,0,0,0,0,0
ENSMUSG00000020755,718117,0.7181172818827182,Sap30bp,1.0,0,1,1,0,0,0
ENSMUSG00000020758,1000000,1.0,Itgb4,1.0,0,0,0,0,0,0
ENSMUSG00000020766,1000000,1.0,Galk1,1.0,0,0,0,0,0,0
ENSMUSG00000020770,1000000,1.0,Unk,1.0,0,0,0,0,0,0
ENSMUSG00000020773,1000000,1.0,Trim47,1.0,0,0,0,0,0,0
ENSMUSG00000020774,1000000,1.0,Aspa,1.0,0,0,0,0,0,0
ENSMUSG00000020775,1000000,1.0,Mrpl38,1.0,0,0,0,0,0,0
ENSMUSG00000020776,1000000,1.0,Fbf1,1.0,0,0,0,0,0,0
ENSMUSG00000020777,1000000,1.0,Acox1,1.0,0,0,0,0,0,0
ENSMUSG00000020778,1000000,1.0,Ten1,1.0,0,0,0,0,0,0
ENSMUSG00000020780,1000000,1.0,Srp68,1.0,0,0,0,0,0,0
ENSMUSG00000020781,1000000,1.0,Tsen54,1.0,0,0,0,0,0,0
ENSMUSG00000020782,1000000,1.0,Llgl2,1.0,0,0,0,0,0,0
ENSMUSG00000020783,1000000,1.0,Ncbp3,1.0,0,0,0,0,0,0
ENSMUSG00000020785,1000000,1.0,Camkk1,1.0,0,0,0,0,0,0
ENSMUSG00000020787,1000000,1.0,P2rx1,1.0,0,0,0,0,0,0
ENSMUSG00000020788,1000000,1.0,Atp2a3,1.0,0,0,0,0,0,0
ENSMUSG00000020790,1000000,1.0,Ankfy1,1.0,0,0,0,0,0,0
ENSMUSG00000020792,1000000,1.0,Exoc7,1.0,0,0,0,0,0,0
ENSMUSG00000020793,1000000,1.0,Galr2,1.0,0,0,0,0,0,0
ENSMUSG00000020794,1000000,1.0,Ube2g1,1.0,0,0,0,0,0,0
ENSMUSG00000020798,1000000,1.0,Spns3,1.0,0,0,0,0,0,0
ENSMUSG00000020799,1000000,1.0,Tekt1,1.0,0,0,0,0,0,0
ENSMUSG00000020801,1000000,1.0,Med31,1.0,0,0,0,0,0,0
ENSMUSG00000020802,1000000,1.0,Ube2o,1.0,0,0,0,0,0,0
ENSMUSG00000020803,1000000,1.0,Txndc17,1.0,0,0,0,0,0,0
ENSMUSG00000020804,1000000,1.0,Aanat,1.0,0,0,0,0,0,0
ENSMUSG00000020805,1000000,1.0,Slc13a5,1.0,0,0,0,0,0,0
ENSMUSG00000020806,1000000,1.0,Rhbdf2,1.0,0,0,0,0,0,0
ENSMUSG00000020807,719001,0.719001280998719,4933427D14Rik,1.0,0,1,1,0,0,0
ENSMUSG00000020808,1000000,1.0,Pimreg,1.0,0,0,0,0,0,0
ENSMUSG00000020810,718854,0.7188542811457188,Cygb,1.0,0,1,1,0,0,0
ENSMUSG00000020811,1000000,1.0,Wscd1,1.0,0,0,0,0,0,0
ENSMUSG00000020814,1000000,1.0,Mxra7,1.0,0,0,0,0,0,0
ENSMUSG00000020817,1000000,1.0,Rabep1,1.0,0,0,0,0,0,0
ENSMUSG00000020818,1000000,1.0,Mfsd11,1.0,0,0,0,0,0,0
ENSMUSG00000020821,1000000,1.0,Kif1c,1.0,0,0,0,0,0,0
ENSMUSG00000020823,1000000,1.0,Sec14l1,1.0,0,0,0,0,0,0
ENSMUSG00000020826,1000000,1.0,Nos2,1.0,0,0,0,0,0,0
ENSMUSG00000020827,1000000,1.0,Mink1,1.0,0,0,0,0,0,0
ENSMUSG00000020828,1000000,1.0,Pld2,1.0,0,0,0,0,0,0
ENSMUSG00000020829,1000000,1.0,Slc46a1,1.0,0,0,0,0,0,0
ENSMUSG00000020830,1000000,1.0,Vmo1,1.0,0,0,0,0,0,0
ENSMUSG00000020831,1000000,1.0,0610010K14Rik,1.0,0,0,0,0,0,0
ENSMUSG00000020832,1000000,1.0,Eral1,1.0,0,0,0,0,0,0
ENSMUSG00000020834,1000000,1.0,Dhrs13,1.0,0,0,0,0,0,0
ENSMUSG00000020836,1000000,1.0,Coro6,1.0,0,0,0,0,0,0
ENSMUSG00000020838,1000000,1.0,Slc6a4,1.0,0,0,0,0,0,0
ENSMUSG00000020839,1000000,1.0,Tmigd1,1.0,0,0,0,0,0,0
ENSMUSG00000020840,1000000,1.0,Blmh,1.0,0,0,0,0,0,0
ENSMUSG00000020841,1000000,1.0,Cpd,1.0,0,0,0,0,0,0
ENSMUSG00000020843,1000000,1.0,Timm22,1.0,0,0,0,0,0,0
ENSMUSG00000020844,1000000,1.0,Nxn,1.0,1,0,1,0,1,1
ENSMUSG00000020846,1000000,1.0,Rflnb,1.0,0,0,0,0,0,0
ENSMUSG00000020847,664847,0.6648473351526648,Rph3al,1.0,0,0,0,2,0,2
ENSMUSG00000020848,1000000,1.0,Doc2b,1.0,0,0,0,0,0,0
ENSMUSG00000020849,514471,0.5144714855285145,Ywhae,1.0,0,2,2,0,0,0
ENSMUSG00000020850,1000000,1.0,Prpf8,1.0,0,0,0,0,0,0
ENSMUSG00000020857,1000000,1.0,Nme2,1.0,0,0,0,0,0,0
ENSMUSG00000020859,1000000,1.0,Spag9,1.0,0,0,0,0,0,0
ENSMUSG00000020863,1000000,1.0,Luc7l3,1.0,0,0,0,0,0,0
ENSMUSG00000020864,1000000,1.0,Ankrd40,1.0,0,0,0,0,0,0
ENSMUSG00000020865,1000000,1.0,Abcc3,1.0,0,0,0,0,0,0
ENSMUSG00000020866,1000000,1.0,Cacna1g,1.0,0,0,0,0,0,0
ENSMUSG00000020867,1000000,1.0,Spata20,1.0,0,0,0,0,0,0
ENSMUSG00000020868,1000000,1.0,Xylt2,1.0,0,0,0,0,0,0
ENSMUSG00000020869,1000000,1.0,Lrrc59,1.0,0,0,0,0,0,0
ENSMUSG00000020871,1000000,1.0,Dlx4,1.0,0,0,0,0,0,0
ENSMUSG00000020872,1000000,1.0,Tac4,1.0,0,0,0,0,0,0
ENSMUSG00000020873,1000000,1.0,Slc35b1,1.0,0,0,0,0,0,0
ENSMUSG00000020875,1000000,1.0,Hoxb9,1.0,0,0,0,0,0,0
ENSMUSG00000020876,1000000,1.0,Snx11,1.0,0,0,0,0,0,0
ENSMUSG00000020877,1000000,1.0,Scrn2,1.0,0,0,0,0,0,0
ENSMUSG00000020878,1000000,1.0,Lrrc46,1.0,0,0,0,0,0,0
ENSMUSG00000020882,1000000,1.0,Cacnb1,1.0,0,0,0,0,0,0
ENSMUSG00000020883,1000000,1.0,Fbxl20,1.0,0,0,0,1,0,1
ENSMUSG00000020884,1000000,1.0,Asgr1,1.0,0,0,0,0,0,0
ENSMUSG00000020886,1000000,1.0,Dlg4,1.0,0,0,0,0,0,0
ENSMUSG00000020888,1000000,1.0,Dvl2,1.0,0,0,0,0,0,0
ENSMUSG00000020889,1000000,1.0,Nr1d1,1.0,0,0,0,0,0,0
ENSMUSG00000020890,1000000,1.0,Gucy2e,1.0,0,0,0,0,0,0
ENSMUSG00000020891,1000000,1.0,Alox8,1.0,0,0,0,0,0,0
ENSMUSG00000020892,1000000,1.0,Aloxe3,1.0,0,0,0,0,0,0
ENSMUSG00000020893,1000000,1.0,Per1,1.0,0,0,0,0,0,0
ENSMUSG00000020894,1000000,1.0,Vamp2,1.0,0,0,0,0,0,0
ENSMUSG00000020895,1000000,1.0,Tmem107,1.0,0,0,0,0,0,0
ENSMUSG00000020897,1000000,1.0,Aurkb,1.0,0,0,0,0,0,0
ENSMUSG00000020898,1000000,1.0,Ctc1,1.0,0,0,0,0,0,0
ENSMUSG00000020899,1000000,1.0,Pfas,1.0,0,0,0,0,0,0
ENSMUSG00000020900,718793,0.7187932812067188,Myh10,1.0,0,1,1,0,0,0
ENSMUSG00000020901,1000000,1.0,Pik3r5,1.0,0,0,0,0,0,0
ENSMUSG00000020902,718351,0.7183512816487183,Ntn1,1.0,0,1,1,0,0,0
ENSMUSG00000020903,1000000,1.0,Stx8,1.0,0,0,0,0,0,0
ENSMUSG00000020904,719001,0.719001280998719,Cfap52,1.0,0,1,1,0,0,0
ENSMUSG00000020905,1000000,1.0,Usp43,1.0,0,0,0,0,0,0
ENSMUSG00000020907,1000000,1.0,Rcvrn,1.0,0,0,0,0,0,0
ENSMUSG00000020908,1000000,1.0,Myh3,1.0,0,0,0,0,0,0
ENSMUSG00000020910,1000000,1.0,Adprm,1.0,0,0,0,0,0,0
ENSMUSG00000020911,1000000,1.0,Krt19,1.0,0,0,0,0,0,0
ENSMUSG00000020912,1000000,1.0,Krt12,1.0,0,0,0,0,0,0
ENSMUSG00000020913,1000000,1.0,Krt24,1.0,0,0,0,0,0,0
ENSMUSG00000020914,1000000,1.0,Top2a,1.0,0,0,0,0,1,1
ENSMUSG00000020916,1000000,1.0,Krt36,1.0,0,0,0,0,0,0
ENSMUSG00000020917,1000000,1.0,Acly,1.0,0,0,0,0,0,0
ENSMUSG00000020918,1000000,1.0,Kat2a,1.0,0,0,0,0,0,0
ENSMUSG00000020919,1000000,1.0,Stat5b,1.0,0,0,0,0,0,0
ENSMUSG00000020921,1000000,1.0,Tmem101,1.0,0,0,0,0,0,0
ENSMUSG00000020922,1000000,1.0,Lsm12,1.0,0,0,0,0,0,0
ENSMUSG00000020923,1000000,1.0,Ubtf,1.0,0,0,0,0,0,0
ENSMUSG00000020925,1000000,1.0,Ccdc43,1.0,0,0,0,0,0,0
ENSMUSG00000020926,1000000,1.0,Adam11,1.0,0,0,0,0,0,0
ENSMUSG00000020928,1000000,1.0,Higd1b,1.0,0,0,0,0,0,0
ENSMUSG00000020929,1000000,1.0,Eftud2,1.0,0,0,0,0,0,0
ENSMUSG00000020930,1000000,1.0,Ccdc103,1.0,0,0,0,0,0,0
ENSMUSG00000020932,1000000,1.0,Gfap,1.0,0,0,0,0,0,0
ENSMUSG00000020935,718776,0.7187762812237187,Dcakd,1.0,0,1,1,0,0,0
ENSMUSG00000020936,1000000,1.0,Nmt1,1.0,0,0,0,0,0,0
ENSMUSG00000020937,1000000,1.0,Plcd3,1.0,0,0,0,0,0,0
ENSMUSG00000020941,718552,0.7185522814477185,Map3k14,1.0,0,1,1,0,0,0
ENSMUSG00000020945,1000000,1.0,Lyzl6,1.0,0,0,0,0,0,0
ENSMUSG00000020946,718537,0.7185372814627186,Gosr2,1.0,0,1,1,0,0,0
ENSMUSG00000020948,1000000,1.0,Klhl28,1.0,0,0,0,0,1,1
ENSMUSG00000020949,1000000,1.0,Fkbp3,1.0,0,0,0,0,0,0
ENSMUSG00000020950,1000000,1.0,Foxg1,1.0,0,0,0,0,0,0
ENSMUSG00000020952,1000000,1.0,Scfd1,1.0,0,0,0,0,0,0
ENSMUSG00000020953,1000000,1.0,Coch,1.0,0,0,0,0,0,0
ENSMUSG00000020954,1000000,1.0,Strn3,1.0,0,0,0,0,0,0
ENSMUSG00000020955,1000000,1.0,Ap4s1,1.0,0,0,0,0,0,0
ENSMUSG00000020956,1000000,1.0,Dtd2,1.0,0,0,0,0,0,0
ENSMUSG00000020961,1000000,1.0,Ston2,1.0,0,1,1,0,1,1
ENSMUSG00000020962,1000000,1.0,Gtf2a1,1.0,0,0,0,0,0,0
ENSMUSG00000020963,718792,0.7187922812077188,Tshr,1.0,0,1,1,0,0,0
ENSMUSG00000020964,718655,0.7186552813447187,Sel1l,1.0,0,1,1,0,0,0
ENSMUSG00000020973,1000000,1.0,Dnaaf2,1.0,0,0,0,0,0,0
ENSMUSG00000020974,1000000,1.0,Pole2,1.0,0,0,0,0,0,0
ENSMUSG00000020978,1000000,1.0,Klhdc2,1.0,0,0,0,0,0,0
ENSMUSG00000020982,1000000,1.0,Nemf,1.0,0,0,0,0,0,0
ENSMUSG00000020986,1000000,1.0,Sec23a,1.0,0,0,0,0,0,0
ENSMUSG00000020988,1000000,1.0,L2hgdh,1.0,0,0,0,0,0,0
ENSMUSG00000020990,1000000,1.0,Cdkl1,1.0,0,0,0,0,0,0
ENSMUSG00000020993,1000000,1.0,Trappc6b,1.0,0,0,0,0,0,0
ENSMUSG00000020994,1000000,1.0,Pnn,1.0,0,0,0,0,0,0
ENSMUSG00000021000,718763,0.7187632812367187,Mia2,1.0,0,1,1,0,0,0
ENSMUSG00000021003,719843,0.7198432801567198,Galc,1.0,0,1,1,0,0,0
ENSMUSG00000021007,1000000,1.0,Spata7,1.0,0,0,0,0,0,0
ENSMUSG00000021009,1000000,1.0,Ptpn21,1.0,0,0,0,0,0,0
ENSMUSG00000021010,514351,0.5143514856485144,Npas3,1.0,0,2,2,0,0,0
ENSMUSG00000021012,1000000,1.0,Zc3h14,1.0,0,0,0,0,0,0
ENSMUSG00000021013,1000000,1.0,Ttc8,1.0,0,0,0,0,0,0
ENSMUSG00000021018,1000000,1.0,Polr2h,1.0,0,0,0,0,0,0
ENSMUSG00000021022,1000000,1.0,Ppp2r3c,1.0,0,0,0,0,0,0
ENSMUSG00000021023,718351,0.7183512816487183,Prorp,1.0,0,1,1,0,0,0
ENSMUSG00000021024,1000000,1.0,Psma6,1.0,0,0,0,0,0,0
ENSMUSG00000021025,1000000,1.0,Nfkbia,1.0,0,0,0,0,0,0
ENSMUSG00000021027,1000000,1.0,Ralgapa1,1.0,0,0,0,0,0,0
ENSMUSG00000021028,1000000,1.0,Mbip,1.0,0,0,0,0,0,0
ENSMUSG00000021032,1000000,1.0,Ngb,1.0,0,0,0,0,0,0
ENSMUSG00000021033,1000000,1.0,Gstz1,1.0,0,0,0,0,0,0
ENSMUSG00000021036,1000000,1.0,Sptlc2,1.0,0,0,0,0,0,0
ENSMUSG00000021037,1000000,1.0,Ahsa1,1.0,0,0,0,0,0,0
ENSMUSG00000021038,1000000,1.0,Vipas39,1.0,0,0,0,0,0,0
ENSMUSG00000021039,1000000,1.0,Snw1,1.0,0,0,0,0,0,0
ENSMUSG00000021040,1000000,1.0,Slirp,1.0,0,0,0,0,0,0
ENSMUSG00000021044,1000000,1.0,Adck1,1.0,0,0,0,0,0,0
ENSMUSG00000021047,473856,0.47385652614347384,Nova1,1.0,0,4,4,2,0,2
ENSMUSG00000021048,210156,0.21015678984321015,Mthfd1,1.0,1,0,1,0,0,0
ENSMUSG00000021051,1000000,1.0,Ppp2r5e,1.0,0,1,1,1,0,1
ENSMUSG00000021054,1000000,1.0,Sgpp1,1.0,0,0,0,0,0,0
ENSMUSG00000021055,1000000,1.0,Esr2,1.0,0,0,0,0,0,0
ENSMUSG00000021057,1000000,1.0,Akap5,1.0,0,0,0,0,0,0
ENSMUSG00000021061,1000000,1.0,Sptb,1.0,0,0,0,0,0,0
ENSMUSG00000021062,1000000,1.0,Rab15,1.0,0,0,0,0,0,0
ENSMUSG00000021065,1000000,1.0,Fut8,1.0,0,1,1,1,0,1
ENSMUSG00000021066,1000000,1.0,Atl1,1.0,0,0,0,0,0,0
ENSMUSG00000021067,1000000,1.0,Sav1,1.0,0,0,0,0,0,0
ENSMUSG00000021068,1000000,1.0,Nin,1.0,0,0,0,0,0,0
ENSMUSG00000021069,1000000,1.0,Pygl,1.0,0,0,0,0,0,0
ENSMUSG00000021070,1000000,1.0,Bdkrb2,1.0,0,0,0,0,0,0
ENSMUSG00000021071,1000000,1.0,Trim9,1.0,0,0,0,0,0,0
ENSMUSG00000021072,1000000,1.0,Tmx1,1.0,0,0,0,0,0,0
ENSMUSG00000021076,1000000,1.0,Actr10,1.0,0,0,0,0,0,0
ENSMUSG00000021078,1000000,1.0,Tomm20l,1.0,0,0,0,0,0,0
ENSMUSG00000021079,1000000,1.0,Timm9,1.0,0,0,0,0,0,0
ENSMUSG00000021086,1000000,1.0,Ccdc175,1.0,0,0,0,0,0,0
ENSMUSG00000021087,209946,0.20994679005320996,Rtn1,1.0,1,0,1,0,0,0
ENSMUSG00000021090,1000000,1.0,Lrrc9,1.0,0,0,0,0,0,0
ENSMUSG00000021094,1000000,1.0,Dhrs7,1.0,0,0,0,0,0,0
ENSMUSG00000021095,1000000,1.0,Gsc,1.0,0,0,0,0,0,0
ENSMUSG00000021096,718952,0.7189522810477189,Ppm1a,1.0,0,1,1,0,0,0
ENSMUSG00000021097,1000000,1.0,Clmn,1.0,0,0,0,0,0,0
ENSMUSG00000021098,1000000,1.0,4930447C04Rik,1.0,0,0,0,0,1,1
ENSMUSG00000021099,1000000,1.0,Six6,1.0,0,0,0,0,0,0
ENSMUSG00000021102,1000000,1.0,Glrx5,1.0,0,0,0,0,0,0
ENSMUSG00000021103,210271,0.21027178972821028,Mnat1,1.0,1,0,1,0,0,0
ENSMUSG00000021108,1000000,1.0,Prkch,1.0,0,0,0,0,0,0
ENSMUSG00000021109,1000000,1.0,Hif1a,1.0,0,0,0,0,0,0
ENSMUSG00000021111,1000000,1.0,Papola,1.0,0,0,0,0,0,0
ENSMUSG00000021112,1000000,1.0,Mpp5,1.0,0,0,0,0,0,0
ENSMUSG00000021113,1000000,1.0,Snapc1,1.0,0,0,0,0,0,0
ENSMUSG00000021114,1000000,1.0,Atp6v1d,1.0,0,0,0,0,0,0
ENSMUSG00000021115,1000000,1.0,Vrk1,1.0,0,0,0,0,0,0
ENSMUSG00000021116,1000000,1.0,Eif2s1,1.0,0,1,1,0,1,1
ENSMUSG00000021118,1000000,1.0,Plek2,1.0,0,0,0,0,0,0
ENSMUSG00000021120,1000000,1.0,Pigh,1.0,0,0,0,0,0,0
ENSMUSG00000021123,1000000,1.0,Rdh12,1.0,0,0,0,0,0,0
ENSMUSG00000021124,718854,0.7188542811457188,Vti1b,1.0,0,1,1,0,0,0
ENSMUSG00000021125,1000000,1.0,Arg2,1.0,0,0,0,0,0,0
ENSMUSG00000021127,1000000,1.0,Zfp36l1,1.0,0,0,0,0,0,0
ENSMUSG00000021130,514582,0.5145824854175146,Galnt16,1.0,0,2,2,0,0,0
ENSMUSG00000021131,1000000,1.0,Erh,1.0,0,0,0,0,0,0
ENSMUSG00000021133,664984,0.664984335015665,Susd6,1.0,0,0,0,2,0,2
ENSMUSG00000021134,1000000,1.0,Srsf5,1.0,0,0,0,0,0,0
ENSMUSG00000021135,1000000,1.0,Slc10a1,1.0,0,0,0,0,0,0
ENSMUSG00000021136,1000000,1.0,Smoc1,1.0,0,0,0,1,0,1
ENSMUSG00000021139,1000000,1.0,Gm20498,1.0,0,0,0,0,0,0
ENSMUSG00000021140,151275,0.15127584872415129,Pcnx,1.0,1,1,2,0,0,0
