human_ensembl_gene,mouse_ensembl_gene,human_symbol,mouse_symbol,database_support
ENSG00000197417,ENSMUSG00000005951,SHPK,Shpk,11.0
ENSG00000196689,ENSMUSG00000005952,TRPV1,Trpv1,12.0
ENSG00000182580,ENSMUSG00000005958,EPHB3,Ephb3,11.0
ENSG00000143367,ENSMUSG00000005968,TUFT1,Tuft1,12.0
ENSG00000049449,ENSMUSG00000005973,RCN1,Rcn1,12.0
ENSG00000213918,ENSMUSG00000005980,DNASE1,Dnase1,11.0
ENSG00000126602,ENSMUSG00000005981,TRAP1,Trap1,12.0
ENSG00000122390,ENSMUSG00000005982,NAA60,Naa60,9.0
ENSG00000215131,ENSMUSG00000005983,C16orf90,1700037C18Rik,11.0
ENSG00000172932,ENSMUSG00000005986,ANKRD13D,Ankrd13d,12.0
ENSG00000107165,ENSMUSG00000005994,TYRP1,Tyrp1,12.0
ENSG00000047410,ENSMUSG00000006005,TPR,Tpr,10.0
ENSG00000116703,ENSMUSG00000006007,PDC,Pdc,10.0
ENSG00000157181,ENSMUSG00000006010,C1orf27,Odr4,12.0
ENSG00000116690,ENSMUSG00000006014,PRG4,Prg4,10.0
ENSG00000134815,ENSMUSG00000006019,DHX34,Dhx34,11.0
ENSG00000118162,ENSMUSG00000006021,KPTN,Kptn,11.0
ENSG00000105402,ENSMUSG00000006024,NAPA,Napa,11.0
ENSG00000213523,ENSMUSG00000006050,SRA1,Sra1,11.0
ENSG00000136436,ENSMUSG00000006056,CALCOCO2,Calcoco2,9.0
ENSG00000159199,ENSMUSG00000006057,ATP5G1,Atp5g1,9.0
ENSG00000159210,ENSMUSG00000006058,SNF8,Snf8,12.0
ENSG00000105254,ENSMUSG00000006095,TBCB,Tbcb,12.0
ENSG00000132376,ENSMUSG00000006127,INPP5K,Inpp5k,12.0
ENSG00000099942,ENSMUSG00000006134,CRKL,Crkl,12.0
ENSG00000267368,ENSMUSG00000006143,UPK3BL,Upk3bl,10.0
ENSG00000131037,ENSMUSG00000006154,EPS8L1,Eps8l1,11.0
ENSG00000113282,ENSMUSG00000006169,CLINT1,Clint1,11.0
ENSG00000112812,ENSMUSG00000006179,PRSS16,Prss16,12.0
ENSG00000145996,ENSMUSG00000006191,CDKAL1,Cdkal1,12.0
ENSG00000166033,ENSMUSG00000006205,HTRA1,Htra1,11.0
ENSG00000116809,ENSMUSG00000006215,ZBTB17,Zbtb17,10.0
ENSG00000184908,ENSMUSG00000006216,CLCNKB,Clcnkb,9.0
ENSG00000185519,ENSMUSG00000006218,FAM131C,Fam131c,12.0
ENSG00000162458,ENSMUSG00000006219,FBLIM1,Fblim1,11.0
ENSG00000173641,ENSMUSG00000006221,HSPB7,Hspb7,9.0
ENSG00000187266,ENSMUSG00000006235,EPOR,Epor,12.0
ENSG00000183401,ENSMUSG00000006241,CCDC159,Ccdc159,11.0
ENSG00000173542,ENSMUSG00000006262,MOB1B,Mob1b,12.0
ENSG00000116039,ENSMUSG00000006269,ATP6V1B1,Atp6v1b1,12.0
ENSG00000148704,ENSMUSG00000006270,VAX1,Vax1,11.0
ENSG00000147416,ENSMUSG00000006273,ATP6V1B2,Atp6v1b2,12.0
ENSG00000127527,ENSMUSG00000006276,EPS15L1,Eps15l1,10.0
ENSG00000129566,ENSMUSG00000006281,TEP1,Tep1,12.0
ENSG00000136319,ENSMUSG00000006288,TTC5,Ttc5,11.0
ENSG00000092094,ENSMUSG00000006289,OSGEP,Osgep,11.0
ENSG00000127837,ENSMUSG00000006299,AAMP,Aamp,12.0
ENSG00000135926,ENSMUSG00000006301,TMBIM1,Tmbim1,10.0
ENSG00000163466,ENSMUSG00000006304,ARPC2,Arpc2,11.0
ENSG00000272333,ENSMUSG00000006307,KMT2B,Kmt2b,8.0
ENSG00000011590,ENSMUSG00000006310,ZBTB32,Zbtb32,12.0
ENSG00000105672,ENSMUSG00000006311,ETV2,Etv2,10.0
ENSG00000105668,ENSMUSG00000006313,UPK1A,Upk1a,12.0
ENSG00000105677,ENSMUSG00000006315,TMEM147,Tmem147,12.0
ENSG00000170889,ENSMUSG00000006333,RPS9,Rps9,12.0
ENSG00000105619,ENSMUSG00000006335,TFPT,Tfpt,11.0
ENSG00000099994,ENSMUSG00000006342,SUSD2,Susd2,12.0
ENSG00000099998,ENSMUSG00000006344,GGT5,Ggt5,11.0
ENSG00000182809,ENSMUSG00000006356,CRIP2,Crip2,10.0
ENSG00000213145,ENSMUSG00000006360,CRIP1,Crip1,10.0
ENSG00000129993,ENSMUSG00000006362,CBFA2T3,Cbfa2t3,11.0
ENSG00000077942,ENSMUSG00000006369,FBLN1,Fbln1,11.0
ENSG00000101856,ENSMUSG00000006373,PGRMC1,Pgrmc1,12.0
ENSG00000100116,ENSMUSG00000006378,GCAT,Gcat,10.0
ENSG00000120156,ENSMUSG00000006386,TEK,Tek,12.0
ENSG00000117400,ENSMUSG00000006389,MPL,Mpl,12.0
ENSG00000066322,ENSMUSG00000006390,ELOVL1,Elovl1,12.0
ENSG00000159479,ENSMUSG00000006392,MED8,Med8,12.0
ENSG00000178922,ENSMUSG00000006395,HYI,Hyi,6.0
ENSG00000117399,ENSMUSG00000006398,CDC20,Cdc20,12.0
ENSG00000158859,ENSMUSG00000006403,ADAMTS4,Adamts4,7.0
ENSG00000143217,ENSMUSG00000006411,PVRL4,Nectin4,12.0
ENSG00000143256,ENSMUSG00000006412,PFDN2,Pfdn2,12.0
ENSG00000124226,ENSMUSG00000006418,RNF114,Rnf114,12.0
ENSG00000018610,ENSMUSG00000006423,CXorf56,C330007P06Rik,9.0
ENSG00000107954,ENSMUSG00000006435,NEURL1,Neurl1a,12.0
ENSG00000116649,ENSMUSG00000006442,SRM,Srm,11.0
ENSG00000142627,ENSMUSG00000006445,EPHA2,Epha2,11.0
ENSG00000239306,ENSMUSG00000006456,RBM14,Rbm14,12.0
ENSG00000248746,ENSMUSG00000006457,ACTN3,Actn3,8.0
ENSG00000174165,ENSMUSG00000006463,ZDHHC24,Zdhhc24,12.0
ENSG00000174483,ENSMUSG00000006464,BBS1,Bbs1,9.0
ENSG00000198569,ENSMUSG00000006469,SLC34A3,Slc34a3,11.0
ENSG00000188566,ENSMUSG00000006471,NDOR1,Ndor1,12.0
ENSG00000165802,ENSMUSG00000006476,NSMF,Nsmf,12.0
ENSG00000152256,ENSMUSG00000006494,PDK1,Pdk1,11.0
ENSG00000011304,ENSMUSG00000006498,PTBP1,Ptbp1,12.0
ENSG00000167508,ENSMUSG00000006517,MVD,Mvd,12.0
ENSG00000051523,ENSMUSG00000006519,CYBA,Cyba,12.0
ENSG00000162267,ENSMUSG00000006522,ITIH3,Itih3,11.0
ENSG00000248592,ENSMUSG00000006526,TMEM110-MUSTN1,Stimate,7.0
ENSG00000163935,ENSMUSG00000006527,SFMBT1,Sfmbt1,11.0
ENSG00000055957,ENSMUSG00000006529,ITIH1,Itih1,12.0
ENSG00000163501,ENSMUSG00000006538,IHH,Ihh,11.0
ENSG00000115592,ENSMUSG00000006542,PRKAG3,Prkag3,11.0
ENSG00000163499,ENSMUSG00000006546,CRYBA2,Cryba2,12.0
ENSG00000123191,ENSMUSG00000006567,ATP7B,Atp7b,10.0
ENSG00000004939,ENSMUSG00000006574,SLC4A1,Slc4a1,12.0
ENSG00000108309,ENSMUSG00000006575,RUNDC3A,Rundc3a,12.0
ENSG00000114923,ENSMUSG00000006576,SLC4A3,Slc4a3,11.0
ENSG00000167513,ENSMUSG00000006585,CDT1,Cdt1,12.0
ENSG00000079102,ENSMUSG00000006586,RUNX1T1,Runx1t1,11.0
ENSG00000185669,ENSMUSG00000006587,SNAI3,Snai3,12.0
ENSG00000198931,ENSMUSG00000006589,APRT,Aprt,11.0
ENSG00000110768,ENSMUSG00000006599,GTF2H1,Gtf2h1,11.0
ENSG00000010704,ENSMUSG00000006611,HFE,Hfe,11.0
ENSG00000143994,ENSMUSG00000006638,ABHD1,Abhd1,4.0
ENSG00000138074,ENSMUSG00000006641,SLC5A6,Slc5a6,9.0
ENSG00000163792,ENSMUSG00000006642,TCF23,Tcf23,12.0
ENSG00000161270,ENSMUSG00000006649,NPHS1,Nphs1,12.0
ENSG00000105290,ENSMUSG00000006651,APLP1,Aplp1,10.0
ENSG00000198218,ENSMUSG00000006673,QRICH1,Qrich1,11.0
ENSG00000178467,ENSMUSG00000006675,P4HTM,P4htm,12.0
ENSG00000172046,ENSMUSG00000006676,USP19,Usp19,12.0
ENSG00000101868,ENSMUSG00000006678,POLA1,Pola1,12.0
ENSG00000070831,ENSMUSG00000006699,CDC42,Cdc42,10.0
ENSG00000160199,ENSMUSG00000006705,PKNOX1,Pknox1,11.0
ENSG00000137261,ENSMUSG00000006711,KIAA0319,D130043K22Rik,12.0
ENSG00000112312,ENSMUSG00000006715,GMNN,Gmnn,12.0
ENSG00000112304,ENSMUSG00000006717,ACOT13,Acot13,12.0
ENSG00000096654,ENSMUSG00000006720,ZNF184,Zfp184,10.0
ENSG00000111012,ENSMUSG00000006724,CYP27B1,Cyp27b1,11.0
ENSG00000135446,ENSMUSG00000006728,CDK4,Cdk4,12.0
ENSG00000135454,ENSMUSG00000006731,B4GALNT1,B4galnt1,12.0
ENSG00000037897,ENSMUSG00000006732,METTL1,Mettl1,11.0
ENSG00000135452,ENSMUSG00000006736,TSPAN31,Tspan31,12.0
ENSG00000170759,ENSMUSG00000006740,KIF5B,Kif5b,11.0
ENSG00000166788,ENSMUSG00000006763,SAAL1,Saal1,11.0
ENSG00000139287,ENSMUSG00000006764,TPH2,Tph2,10.0
ENSG00000108244,ENSMUSG00000006777,KRT23,Krt23,12.0
ENSG00000173786,ENSMUSG00000006782,CNP,Cnp,10.0
ENSG00000204815,ENSMUSG00000006784,TTC25,Ttc25,9.0
ENSG00000196562,ENSMUSG00000006800,SULF2,Sulf2,11.0
ENSG00000112096,ENSMUSG00000006818,SOD2,Sod2,12.0
ENSG00000113119,ENSMUSG00000006850,TMCO6,Tmco6,12.0
ENSG00000124356,ENSMUSG00000006906,STAMBP,Stambp,12.0
ENSG00000108799,ENSMUSG00000006920,EZH1,Ezh1,11.0
ENSG00000173805,ENSMUSG00000006930,HAP1,Hap1,11.0
ENSG00000141696,ENSMUSG00000006931,P3H4,P3h4,9.0
ENSG00000168036,ENSMUSG00000006932,CTNNB1,Ctnnb1,12.0
ENSG00000114784,ENSMUSG00000006941,EIF1B,Eif1b,12.0
ENSG00000167749,ENSMUSG00000006948,KLK4,Klk4,12.0
ENSG00000090539,ENSMUSG00000006958,CHRD,Chrd,11.0
ENSG00000175166,ENSMUSG00000006998,PSMD2,Psmd2,12.0
ENSG00000127561,ENSMUSG00000007021,SYNGR3,Syngr3,12.0
ENSG00000204394,ENSMUSG00000007029,VARS,Vars,11.0
ENSG00000204396,ENSMUSG00000007030,VWA7,Vwa7,11.0
ENSG00000204390,ENSMUSG00000007033,HSPA1L,Hspa1l,10.0
ENSG00000204385,ENSMUSG00000007034,SLC44A4,Slc44a4,11.0
ENSG00000204410,ENSMUSG00000007035,MSH5,Msh5,8.0
ENSG00000204427,ENSMUSG00000007036,ABHD16A,Abhd16a,10.0
ENSG00000204386,ENSMUSG00000007038,NEU1,Neu1,11.0
ENSG00000213722,ENSMUSG00000007039,DDAH2,Ddah2,12.0
ENSG00000213719,ENSMUSG00000007041,CLIC1,Clic1,11.0
ENSG00000204392,ENSMUSG00000007050,LSM2,Lsm2,12.0
ENSG00000177084,ENSMUSG00000007080,POLE,Pole,10.0
ENSG00000018625,ENSMUSG00000007097,ATP1A2,Atp1a2,11.0
ENSG00000132681,ENSMUSG00000007107,ATP1A4,Atp1a4,10.0
ENSG00000143318,ENSMUSG00000007122,CASQ1,Casq1,11.0
ENSG00000106089,ENSMUSG00000007207,STX1A,Stx1a,11.0
ENSG00000267881,ENSMUSG00000007209,AC011513.3,Ceacam9,1.0
ENSG00000196456,ENSMUSG00000007216,ZNF775,Zfp775,11.0
ENSG00000175356,ENSMUSG00000007279,SCUBE2,Scube2,11.0
ENSG00000149792,ENSMUSG00000007338,MRPL49,Mrpl49,12.0
ENSG00000175984,ENSMUSG00000007379,DENND2C,Dennd2c,10.0
ENSG00000075413,ENSMUSG00000007411,MARK3,Mark3,10.0
ENSG00000157259,ENSMUSG00000007415,GATAD1,Gatad1,12.0
ENSG00000003056,ENSMUSG00000007458,M6PR,M6pr,12.0
ENSG00000136802,ENSMUSG00000007476,LRRC8A,Lrrc8a,11.0
ENSG00000176136,ENSMUSG00000007480,MC5R,Mc5r,10.0
ENSG00000105568,ENSMUSG00000007564,PPP2R1A,Ppp2r1a,12.0
ENSG00000112039,ENSMUSG00000007570,FANCE,Fance,7.0
ENSG00000092330,ENSMUSG00000007589,TINF2,Tinf2,10.0
ENSG00000139908,ENSMUSG00000007591,TSSK4,Tssk4,12.0
ENSG00000187664,ENSMUSG00000007594,HAPLN4,Hapln4,12.0
ENSG00000141994,ENSMUSG00000007603,DUS3L,Dus3l,11.0
ENSG00000130299,ENSMUSG00000007610,GTPBP3,Gtpbp3,12.0
ENSG00000106799,ENSMUSG00000007613,TGFBR1,Tgfbr1,12.0
ENSG00000152413,ENSMUSG00000007617,HOMER1,Homer1,12.0
ENSG00000108384,ENSMUSG00000007646,RAD51C,Rad51c,12.0
ENSG00000145864,ENSMUSG00000007653,GABRB2,Gabrb2,12.0
ENSG00000105974,ENSMUSG00000007655,CAV1,Cav1,12.0
ENSG00000128989,ENSMUSG00000007656,ARPP19,Arpp19,10.0
ENSG00000171552,ENSMUSG00000007659,BCL2L1,Bcl2l1,10.0
ENSG00000088247,ENSMUSG00000007670,KHSRP,Khsrp,11.0
ENSG00000211448,ENSMUSG00000007682,DIO2,Dio2,12.0
ENSG00000007080,ENSMUSG00000007721,CCDC124,Ccdc124,12.0
ENSG00000115484,ENSMUSG00000007739,CCT4,Cct4,12.0
ENSG00000169169,ENSMUSG00000007783,CPT1C,Cpt1c,12.0
ENSG00000233608,ENSMUSG00000007805,TWIST2,Twist2,11.0
ENSG00000197343,ENSMUSG00000007812,ZNF655,Zfp655,10.0
ENSG00000067560,ENSMUSG00000007815,RHOA,Rhoa,10.0
ENSG00000108175,ENSMUSG00000007817,ZMIZ1,Zmiz1,12.0
ENSG00000107890,ENSMUSG00000007827,ANKRD26,Ankrd26,8.0
ENSG00000161618,ENSMUSG00000007833,ALDH16A1,Aldh16a1,8.0
ENSG00000177733,ENSMUSG00000007836,HNRNPA0,Hnrnpa0,11.0
ENSG00000126460,ENSMUSG00000007837,PRRG2,Prrg2,10.0
ENSG00000169045,ENSMUSG00000007850,HNRNPH1,Hnrnph1,11.0
ENSG00000119650,ENSMUSG00000007867,IFT43,Ift43,10.0
ENSG00000117318,ENSMUSG00000007872,ID3,Id3,12.0
ENSG00000173991,ENSMUSG00000007877,TCAP,Tcap,12.0
ENSG00000117713,ENSMUSG00000007880,ARID1A,Arid1a,12.0
ENSG00000006016,ENSMUSG00000007888,CRLF1,Crlf1,12.0
ENSG00000117984,ENSMUSG00000007891,CTSD,Ctsd,10.0
ENSG00000137818,ENSMUSG00000007892,RPLP1,Rplp1,11.0
ENSG00000145309,ENSMUSG00000007907,CABS1,Cabs1,12.0
ENSG00000146151,ENSMUSG00000007908,HMGCLL1,Hmgcll1,11.0
ENSG00000174521,ENSMUSG00000007944,TTC9B,Ttc9b,12.0
ENSG00000165462,ENSMUSG00000007946,PHOX2A,Phox2a,11.0
ENSG00000127220,ENSMUSG00000007950,ABHD8,Abhd8,11.0
ENSG00000128581,ENSMUSG00000007987,IFT22,Ift22,12.0
ENSG00000104290,ENSMUSG00000007989,FZD3,Fzd3,11.0
ENSG00000235034,ENSMUSG00000008028,C19orf81,1700008O03Rik,10.0
ENSG00000165175,ENSMUSG00000008035,MID1IP1,Mid1ip1,12.0
ENSG00000042753,ENSMUSG00000008036,AP2S1,Ap2s1,12.0
ENSG00000127418,ENSMUSG00000008090,FGFRL1,Fgfrl1,11.0
ENSG00000132016,ENSMUSG00000008129,C19orf57,4930432K21Rik,9.0
ENSG00000115641,ENSMUSG00000008136,FHL2,Fhl2,11.0
ENSG00000161671,ENSMUSG00000008140,EMC10,Emc10,9.0
ENSG00000139182,ENSMUSG00000008153,CLSTN3,Clstn3,12.0
ENSG00000132004,ENSMUSG00000008167,FBXW9,Fbxw9,9.0
ENSG00000269404,ENSMUSG00000008193,SPIB,Spib,10.0
ENSG00000109920,ENSMUSG00000008200,FNBP4,Fnbp4,11.0
ENSG00000090661,ENSMUSG00000008206,CERS4,Cers4,12.0
ENSG00000144306,ENSMUSG00000008226,SCRN3,Scrn3,11.0
ENSG00000164902,ENSMUSG00000008301,PHAX,Phax,12.0
ENSG00000196781,ENSMUSG00000008305,TLE1,Tle1,11.0
ENSG00000054967,ENSMUSG00000008318,RELT,Relt,11.0
ENSG00000125870,ENSMUSG00000008333,SNRPB2,Snrpb2,11.0
ENSG00000150991,ENSMUSG00000008348,UBC,Ubc,7.0
ENSG00000105618,ENSMUSG00000008373,PRPF31,Prpf31,11.0
ENSG00000197019,ENSMUSG00000008384,SERTAD1,Sertad1,12.0
ENSG00000153048,ENSMUSG00000008393,CARHSP1,Carhsp1,10.0
ENSG00000111145,ENSMUSG00000008398,ELK3,Elk3,11.0
ENSG00000122557,ENSMUSG00000008429,HERPUD2,Herpud2,12.0
ENSG00000160439,ENSMUSG00000008435,RDH13,Rdh13,11.0
ENSG00000139985,ENSMUSG00000008438,ADAM21,Adam21,8.0
ENSG00000102898,ENSMUSG00000008450,NUTF2,Nutf2,12.0
ENSG00000174951,ENSMUSG00000008461,FUT1,Fut1,11.0
ENSG00000162704,ENSMUSG00000008475,ARPC5,Arpc5,12.0
ENSG00000179580,ENSMUSG00000008482,RNF151,Rnf151,12.0
ENSG00000107105,ENSMUSG00000008489,ELAVL2,Elavl2,11.0
ENSG00000028277,ENSMUSG00000008496,POU2F2,Pou2f2,11.0
ENSG00000008394,ENSMUSG00000008540,MGST1,Mgst1,12.0
ENSG00000147862,ENSMUSG00000008575,NFIB,Nfib,12.0
ENSG00000149305,ENSMUSG00000008590,HTR3B,Htr3b,12.0
ENSG00000132698,ENSMUSG00000008601,RAB25,Rab25,12.0
ENSG00000160803,ENSMUSG00000008604,UBQLN4,Ubqln4,12.0
ENSG00000078328,ENSMUSG00000008658,RBFOX1,Rbfox1,12.0
ENSG00000231500,ENSMUSG00000008668,RPS18,Rps18,11.0
ENSG00000147403,ENSMUSG00000008682,RPL10,Rpl10,9.0
ENSG00000134419,ENSMUSG00000008683,RPS15A,Rps15a,12.0
ENSG00000025770,ENSMUSG00000008690,NCAPH2,Ncaph2,11.0
ENSG00000163349,ENSMUSG00000008730,HIPK1,Hipk1,11.0
ENSG00000167191,ENSMUSG00000008734,GPRC5B,Gprc5b,11.0
ENSG00000198162,ENSMUSG00000008763,MAN1A2,Man1a2,12.0
ENSG00000179636,ENSMUSG00000008813,TPPP2,Tppp2,12.0
ENSG00000119640,ENSMUSG00000008822,ACYP1,Acyp1,12.0
ENSG00000177575,ENSMUSG00000008845,CD163,Cd163,10.0
ENSG00000108840,ENSMUSG00000008855,HDAC5,Hdac5,11.0
ENSG00000006451,ENSMUSG00000008859,RALA,Rala,12.0
ENSG00000166509,ENSMUSG00000008874,CLEC3A,Clec3a,9.0
ENSG00000078668,ENSMUSG00000008892,VDAC3,Vdac3,11.0
ENSG00000162383,ENSMUSG00000008932,SLC1A7,Slc1a7,12.0
ENSG00000163159,ENSMUSG00000008958,VPS72,Vps72,12.0
ENSG00000154727,ENSMUSG00000008976,GABPA,Gabpa,11.0
ENSG00000101144,ENSMUSG00000008999,BMP7,Bmp7,12.0
ENSG00000088986,ENSMUSG00000009013,DYNLL1,Dynll1,9.0
ENSG00000136940,ENSMUSG00000009030,PDCL,Pdcl,12.0
ENSG00000198792,ENSMUSG00000009035,TMEM184B,Tmem184b,12.0
ENSG00000100218,ENSMUSG00000009070,RSPH14,Rsph14,11.0
ENSG00000186575,ENSMUSG00000009073,NF2,Nf2,12.0
ENSG00000100314,ENSMUSG00000009075,CABP7,Cabp7,12.0
ENSG00000100319,ENSMUSG00000009076,ZMAT5,Zmat5,12.0
ENSG00000182944,ENSMUSG00000009079,EWSR1,Ewsr1,10.0
ENSG00000100280,ENSMUSG00000009090,AP1B1,Ap1b1,10.0
ENSG00000099958,ENSMUSG00000009092,DERL3,Derl3,12.0
ENSG00000276950,ENSMUSG00000009093,GSTTP2,Gstt4,5.0
ENSG00000184058,ENSMUSG00000009097,TBX1,Tbx1,11.0
ENSG00000134183,ENSMUSG00000009108,GNAT2,Gnat2,12.0
ENSG00000099968,ENSMUSG00000009112,BCL2L13,Bcl2l13,11.0
ENSG00000160298,ENSMUSG00000009114,C21orf58,2610028H24Rik,10.0
ENSG00000160284,ENSMUSG00000009115,SPATC1L,Spatc1l,12.0
ENSG00000144045,ENSMUSG00000009145,DQX1,Dqx1,12.0
ENSG00000108700,ENSMUSG00000009185,CCL8,Ccl8,4.0
ENSG00000144320,ENSMUSG00000009207,KIAA1715,Lnpk,12.0
ENSG00000224383,ENSMUSG00000009210,PRR29,Prr29,9.0
ENSG00000187616,ENSMUSG00000009214,TMEM8C,Mymk,11.0
ENSG00000196990,ENSMUSG00000009216,FAM163B,Fam163b,10.0
ENSG00000070985,ENSMUSG00000009246,TRPM5,Trpm5,11.0
ENSG00000183734,ENSMUSG00000009248,ASCL2,Ascl2,10.0
ENSG00000106538,ENSMUSG00000009281,RARRES2,Rarres2,12.0
ENSG00000183255,ENSMUSG00000009291,PTTG1IP,Pttg1ip,12.0
ENSG00000142185,ENSMUSG00000009292,TRPM2,Trpm2,11.0
ENSG00000184787,ENSMUSG00000009293,UBE2G2,Ube2g2,10.0
ENSG00000005381,ENSMUSG00000009350,MPO,Mpo,10.0
ENSG00000167419,ENSMUSG00000009356,LPO,Lpo,12.0
ENSG00000105976,ENSMUSG00000009376,MET,Met,11.0
ENSG00000152779,ENSMUSG00000009378,SLC16A12,Slc16a12,11.0
ENSG00000157152,ENSMUSG00000009394,SYN2,Syn2,9.0
ENSG00000126767,ENSMUSG00000009406,ELK1,Elk1,10.0
ENSG00000134369,ENSMUSG00000009418,NAV1,Nav1,12.0
ENSG00000083312,ENSMUSG00000009470,TNPO1,Tnpo1,12.0
ENSG00000129152,ENSMUSG00000009471,MYOD1,Myod1,11.0
ENSG00000188162,ENSMUSG00000009487,OTOG,Otog,9.0
ENSG00000101654,ENSMUSG00000009535,RNMT,Rnmt,12.0
ENSG00000053918,ENSMUSG00000009545,KCNQ1,Kcnq1,11.0
ENSG00000140319,ENSMUSG00000009549,SRP14,Srp14,12.0
ENSG00000136807,ENSMUSG00000009555,CDK9,Cdk9,11.0
ENSG00000160404,ENSMUSG00000009563,TOR2A,Tor2a,11.0
ENSG00000136877,ENSMUSG00000009566,FPGS,Fpgs,11.0
ENSG00000186260,ENSMUSG00000009569,MKL2,Mrtfb,9.0
ENSG00000094916,ENSMUSG00000009575,CBX5,Cbx5,11.0
ENSG00000109205,ENSMUSG00000009580,ODAM,Odam,12.0
ENSG00000100298,ENSMUSG00000009585,APOBEC3H,Apobec3,4.0
ENSG00000070526,ENSMUSG00000009588,ST6GALNAC1,St6galnac1,10.0
ENSG00000102387,ENSMUSG00000009596,TAF7L,Taf7l,10.0
ENSG00000123453,ENSMUSG00000009614,SARDH,Sardh,12.0
ENSG00000160293,ENSMUSG00000009621,VAV2,Vav2,12.0
ENSG00000133863,ENSMUSG00000009628,TEX15,Tex15,11.0
ENSG00000104695,ENSMUSG00000009630,PPP2CB,Ppp2cb,11.0
ENSG00000123689,ENSMUSG00000009633,G0S2,G0s2,12.0
ENSG00000178028,ENSMUSG00000009640,DMAP1,Dmap1,12.0
ENSG00000138308,ENSMUSG00000009646,PLA2G12B,Pla2g12b,11.0
ENSG00000156026,ENSMUSG00000009647,MCU,Mcu,12.0
ENSG00000138315,ENSMUSG00000009654,OIT3,Oit3,12.0
ENSG00000120498,ENSMUSG00000009670,TEX11,Tex11,12.0
ENSG00000186716,ENSMUSG00000009681,BCR,Bcr,10.0
ENSG00000089327,ENSMUSG00000009687,FXYD5,Fxyd5,11.0
ENSG00000102057,ENSMUSG00000009731,KCND1,Kcnd1,12.0
ENSG00000135457,ENSMUSG00000009733,TFCP2,Tfcp2,11.0
ENSG00000106536,ENSMUSG00000009734,POU6F2,Pou6f2,8.0
ENSG00000184271,ENSMUSG00000009739,POU6F1,Pou6f1,9.0
ENSG00000153560,ENSMUSG00000009741,UBP1,Ubp1,12.0
ENSG00000163545,ENSMUSG00000009772,NUAK2,Nuak2,11.0
ENSG00000112144,ENSMUSG00000009828,ICK,Ick,12.0
ENSG00000117118,ENSMUSG00000009863,SDHB,Sdhb,12.0
ENSG00000131055,ENSMUSG00000009876,COX4I2,Cox4i2,12.0
ENSG00000143740,ENSMUSG00000009894,SNAP47,Snap47,12.0
ENSG00000154342,ENSMUSG00000009900,WNT3A,Wnt3a,10.0
ENSG00000119537,ENSMUSG00000009905,KDSR,Kdsr,9.0
ENSG00000119541,ENSMUSG00000009907,VPS4B,Vps4b,12.0
ENSG00000118181,ENSMUSG00000009927,RPS25,Rps25,10.0
ENSG00000126952,ENSMUSG00000009941,NXF5,Nxf2,4.0
ENSG00000102125,ENSMUSG00000009995,TAZ,Taz,9.0
ENSG00000196169,ENSMUSG00000010021,KIF19,Kif19a,11.0
ENSG00000072210,ENSMUSG00000010025,ALDH3A2,Aldh3a2,11.0
ENSG00000004838,ENSMUSG00000010044,ZMYND10,Zmynd10,11.0
ENSG00000126062,ENSMUSG00000010045,TMEM115,Tmem115,10.0
ENSG00000068001,ENSMUSG00000010047,HYAL2,Hyal2,11.0
ENSG00000214706,ENSMUSG00000010048,IFRD2,Ifrd2,9.0
ENSG00000114378,ENSMUSG00000010051,HYAL1,Hyal1,11.0
ENSG00000114383,ENSMUSG00000010054,TUSC2,Tusc2,12.0
ENSG00000114388,ENSMUSG00000010057,NPRL2,Nprl2,12.0
ENSG00000188338,ENSMUSG00000010064,SLC38A3,Slc38a3,9.0
ENSG00000007402,ENSMUSG00000010066,CACNA2D2,Cacna2d2,11.0
ENSG00000068028,ENSMUSG00000010067,RASSF1,Rassf1,11.0
ENSG00000049283,ENSMUSG00000010080,EPN3,Epn3,11.0
ENSG00000128482,ENSMUSG00000010086,RNF112,Rnf112,9.0
ENSG00000168003,ENSMUSG00000010095,SLC3A2,Slc3a2,11.0
ENSG00000162231,ENSMUSG00000010097,NXF1,Nxf1,11.0
ENSG00000162236,ENSMUSG00000010110,STX5,Stx5a,12.0
ENSG00000142494,ENSMUSG00000010122,SLC47A1,Slc47a1,10.0
ENSG00000173947,ENSMUSG00000010136,PIFO,Pifo,12.0
ENSG00000240505,ENSMUSG00000010142,TNFRSF13B,Tnfrsf13b,12.0
ENSG00000204991,ENSMUSG00000010154,SPIRE2,Spire2,12.0
ENSG00000117707,ENSMUSG00000010175,PROX1,Prox1,12.0
ENSG00000161847,ENSMUSG00000010205,RAVER1,Raver1,7.0
ENSG00000007202,ENSMUSG00000010277,KIAA0100,2610507B11Rik,9.0
ENSG00000135974,ENSMUSG00000010290,C2orf49,AI597479,12.0
ENSG00000151117,ENSMUSG00000010307,TMEM86A,Tmem86a,11.0
ENSG00000188770,ENSMUSG00000010311,OPTC,Optc,10.0
ENSG00000121101,ENSMUSG00000010342,TEX14,Tex14,12.0
ENSG00000068079,ENSMUSG00000010358,IFI35,Ifi35,12.0
ENSG00000278023,ENSMUSG00000010362,RDM1,Rdm1,9.0
ENSG00000129559,ENSMUSG00000010376,NEDD8,Nedd8,12.0
ENSG00000108587,ENSMUSG00000010392,GOSR1,Gosr1,11.0
ENSG00000172590,ENSMUSG00000010406,MRPL52,Mrpl52,12.0
