mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000019878,chr10,+,57486396,57513135,57486509,57512195,"[[57486396, 57512195]]",Hsf2
ENSMUSG00000019880,chr10,-,29452416,29535867,29452736,29535328,"[[29452736, 29535867]]",Rspo3
ENSMUSG00000019883,chr10,+,29313166,29347469,29313667,29344746,"[[29313166, 29344746]]",Echdc1
ENSMUSG00000019888,chr10,+,101681487,102391469,102378158,102389360,"[[101681487, 102389360]]",Mgat4c
ENSMUSG00000019889,chr10,+,28074820,28597397,28075081,28595852,"[[28074820, 28595852]]",Ptprk
ENSMUSG00000019890,chr10,-,102481756,102490486,102482334,102490323,"[[102482334, 102490486]]",Nts
ENSMUSG00000019891,chr10,+,52233619,52321378,52233751,52319993,"[[52233619, 52319993]]",Dcbld1
ENSMUSG00000019892,chr10,-,103046031,103236322,103046034,103234153,"[[103046034, 103236322]]",Lrriq1
ENSMUSG00000019893,chr10,-,52045926,52195244,52046019,52194956,"[[52046019, 52195244]]",Ros1
ENSMUSG00000019894,chr10,+,103367808,103419377,103389053,103418391,"[[103367808, 103418391]]",Slc6a15
ENSMUSG00000019897,chr10,+,105841067,105847833,105841502,105847175,"[[105841067, 105847175]]",Ccdc59
ENSMUSG00000019899,chr10,-,26981285,27616843,26981498,27616796,"[[26981498, 27616843]]",Lama2
ENSMUSG00000019900,chr10,+,51677756,51730432,51677810,51729803,"[[51677756, 51729803]]",Rfx6
ENSMUSG00000019905,chr10,-,51614823,51631461,51614868,51631431,"[[51614868, 51631461]]",Gprc6a
ENSMUSG00000019906,chr10,+,107271686,107421474,107271861,107412168,"[[107271686, 107412168]]",Lin7a
ENSMUSG00000019907,chr10,+,108162193,108279984,108162400,108277290,"[[108162193, 108277290]]",Ppp1r12a
ENSMUSG00000019909,chr10,-,51585416,51590517,51585495,51590421,"[[51585495, 51590517]]",Fam162b
ENSMUSG00000019913,chr10,+,50894754,50989152,50895897,50984338,"[[50894754, 50984338]]",Sim1
ENSMUSG00000019916,chr10,+,59323296,59373304,59337081,59371071,"[[59323296, 59371071]]",P4ha1
ENSMUSG00000019917,chr10,-,59141627,59221847,59141653,59221408,"[[59141653, 59221847]]",Sept10
ENSMUSG00000019920,chr10,+,58323466,58424691,58323656,58421565,"[[58323466, 58421565]]",Lims1
ENSMUSG00000019923,chr10,+,72654845,72674964,72654919,72657383,"[[72654845, 72657383]]",Zwint
ENSMUSG00000019927,chr10,-,71254980,71285262,71255832,71285124,"[[71255832, 71285262]]",Ube2d1
ENSMUSG00000019929,chr10,+,97479609,97518143,97483363,97517652,"[[97479609, 97517652]]",Dcn
ENSMUSG00000019932,chr10,+,97606879,97613692,97608781,97612972,"[[97606879, 97612972]]",Kera
ENSMUSG00000019935,chr10,-,89574020,89621253,89576319,89620899,"[[89576319, 89621253]]",Slc17a8
ENSMUSG00000019936,chr10,+,97644068,97682454,97649700,97681267,"[[97644068, 97681267]]",Epyc
ENSMUSG00000019942,chr10,-,69335146,69352938,69338501,69350132,"[[69338501, 69352938]]",Cdk1
ENSMUSG00000019943,chr10,+,98914406,99026143,98968917,99023333,"[[98914406, 99023333]]",Atp2b1
ENSMUSG00000019944,chr10,+,69151434,69291791,69248781,69289686,"[[69151434, 69289686]]",Rhobtb1
ENSMUSG00000019945,chr10,-,68430953,68541896,68431252,68541857,"[[68431252, 68541896]]",Cabcoco1
ENSMUSG00000019947,chr10,-,68092520,68278740,68096507,68278710,"[[68096507, 68278740]]",Arid5b
ENSMUSG00000019948,chr10,-,89711971,89732295,89712434,89732241,"[[89712434, 89732295]]",Actr6
ENSMUSG00000019951,chr10,+,89744991,89819871,89745245,89818048,"[[89744991, 89818048]]",Uhrf1bp1l
ENSMUSG00000019952,chr10,+,99107036,99198074,99107209,99196727,"[[99107036, 99196727]]",Poc1b
ENSMUSG00000019960,chr10,+,99263231,99267489,99263692,99266296,"[[99263231, 99266296]]",Dusp6
ENSMUSG00000019961,chr10,-,91147571,91171582,91149479,91171313,"[[91149479, 91171582]]",Tmpo
ENSMUSG00000019966,chr10,+,100015630,100100416,100016021,100089232,"[[100015630, 100089232]]",Kitl
ENSMUSG00000019969,chr12,+,83688152,83735199,83699565,83734068,"[[83688152, 83734068]]",Psen1
ENSMUSG00000019970,chr10,+,21882184,21999903,21882639,21998824,"[[21882184, 21998824]]",Sgk1
ENSMUSG00000019971,chr10,+,100487558,100573655,100488307,100573104,"[[100487558, 100573104]]",Cep290
ENSMUSG00000019975,chr10,+,91082940,91102607,91083127,91102501,"[[91082940, 91102501]]",Ikbip
ENSMUSG00000019977,chr10,+,21295979,21368898,21296134,21368297,"[[21295979, 21368297]]",Hbs1l
ENSMUSG00000019978,chr10,+,25359798,25523519,25441587,25513077,"[[25359798, 25513077]]",Epb41l2
ENSMUSG00000019979,chr10,-,90989311,91082770,90991453,91080024,"[[90991453, 91082770]]",Apaf1
ENSMUSG00000019982,chr10,-,21124935,21160984,21126176,21160718,"[[21126176, 21160984]]",Myb
ENSMUSG00000019984,chr10,+,24869986,24913681,24870099,24912824,"[[24869986, 24912824]]",Med23
ENSMUSG00000019986,chr10,+,20952547,21080429,20959770,21074477,"[[20952547, 21074477]]",Ahi1
ENSMUSG00000019987,chr10,-,24915221,24927484,24915613,24927368,"[[24915613, 24927484]]",Arg1
ENSMUSG00000019988,chr10,-,92684746,92722420,92686194,92719621,"[[92686194, 92722420]]",Nedd1
ENSMUSG00000019989,chr10,-,24772406,24842823,24773905,24836093,"[[24773905, 24842823]]",Enpp3
ENSMUSG00000019990,chr10,-,20398004,20725078,20400421,20724696,"[[20400421, 20725078]]",Pde7b
ENSMUSG00000019992,chr10,+,20347770,20361304,20347911,20360537,"[[20347770, 20360537]]",Mtfr2
ENSMUSG00000019996,chr10,+,20148471,20281590,20149014,20280003,"[[20148471, 20280003]]",Map7
ENSMUSG00000019997,chr10,+,24595442,24598683,24595726,24597608,"[[24595442, 24597608]]",Ccn2
ENSMUSG00000019998,chr10,+,24149317,24190222,24155300,24187717,"[[24149317, 24187717]]",Stx7
ENSMUSG00000020000,chr10,+,24223517,24302790,24223604,24301626,"[[24223517, 24301626]]",Moxd1
ENSMUSG00000020003,chr10,-,19853900,19907689,19860929,19907573,"[[19860929, 19907689]]",Pex7
ENSMUSG00000020007,chr10,+,19712570,19760053,19712634,19759650,"[[19712570, 19759650]]",Il20ra
ENSMUSG00000020009,chr10,+,19591949,19610229,19592086,19609685,"[[19591949, 19609685]]",Ifngr1
ENSMUSG00000020010,chr10,+,23851462,23869843,23851584,23869654,"[[23851462, 23869654]]",Vnn3
ENSMUSG00000020014,chr10,-,92775619,93081618,92776182,93081596,"[[92776182, 93081618]]",Cfap54
ENSMUSG00000020015,chr10,+,93160890,93241328,93208201,93239622,"[[93160890, 93239622]]",Cdk17
ENSMUSG00000020017,chr10,+,93488768,93519304,93489131,93516319,"[[93488768, 93516319]]",Hal
ENSMUSG00000020018,chr10,-,93583029,93589706,93583467,93589541,"[[93583467, 93589706]]",Snrpf
ENSMUSG00000020019,chr10,+,93640681,93747207,93641454,93745850,"[[93640681, 93745850]]",Ntn4
ENSMUSG00000020020,chr10,+,93833818,93858088,93845690,93857925,"[[93833818, 93857925]]",Usp44
ENSMUSG00000020021,chr10,+,94036001,94145339,94036295,94141786,"[[94036001, 94141786]]",Fgd6
ENSMUSG00000020022,chr10,+,94198955,94221443,94199033,94220858,"[[94198955, 94220858]]",Ndufa12
ENSMUSG00000020023,chr10,+,94312024,94590956,94515027,94587027,"[[94312024, 94587027]]",Tmcc3
ENSMUSG00000020024,chr10,+,94688654,94790853,94718974,94789805,"[[94688654, 94789805]]",Cep83
ENSMUSG00000020027,chr10,-,95411490,95417180,95412656,95414969,"[[95412656, 95417180]]",Socs2
ENSMUSG00000020029,chr10,-,95547007,95564146,95549291,95563757,"[[95549291, 95564146]]",Nudt4
ENSMUSG00000020032,chr10,-,84370905,84440597,84374249,84440357,"[[84374249, 84440597]]",Nuak1
ENSMUSG00000020034,chr10,+,84576626,84614359,84584899,84613723,"[[84576626, 84613723]]",Tcp11l2
ENSMUSG00000020037,chr10,+,84756062,84906538,84756471,84905224,"[[84756062, 84905224]]",Rfx4
ENSMUSG00000020038,chr10,-,85131700,85185064,85133058,85184471,"[[85133058, 85185064]]",Cry1
ENSMUSG00000020042,chr10,+,85386814,85660292,85387329,85658346,"[[85386814, 85658346]]",Btbd11
ENSMUSG00000020044,chr10,+,86300372,86349506,86300854,86345899,"[[86300372, 86345899]]",Timp3
ENSMUSG00000020048,chr10,-,86690840,86705509,86691105,86705355,"[[86691105, 86705509]]",Hsp90b1
ENSMUSG00000020051,chr10,+,87521795,87584136,87522017,87583575,"[[87521795, 87583575]]",Pah
ENSMUSG00000020052,chr10,-,87490819,87493660,87492396,87493088,"[[87492396, 87493660]]",Ascl1
ENSMUSG00000020053,chr10,+,87858265,87937042,87859350,87930731,"[[87858265, 87930731]]",Igf1
ENSMUSG00000020056,chr10,+,88201093,88246158,88201242,88245837,"[[88201093, 88245837]]",Washc3
ENSMUSG00000020057,chr10,-,88322804,88379080,88324744,88356922,"[[88324744, 88379080]]",Dram1
ENSMUSG00000020059,chr10,+,88459569,88473236,88459666,88472955,"[[88459569, 88472955]]",Sycp3
ENSMUSG00000020061,chr10,-,88518279,88605152,88518472,88604925,"[[88518472, 88605152]]",Mybpc1
ENSMUSG00000020062,chr10,+,88885992,88929515,88886307,88926332,"[[88885992, 88926332]]",Slc5a8
ENSMUSG00000020063,chr10,-,63319005,63381704,63320639,63338970,"[[63320639, 63381704]]",Sirt1
ENSMUSG00000020064,chr10,+,63243911,63317878,63245900,63317485,"[[63243911, 63317485]]",Herc4
ENSMUSG00000020067,chr10,-,63115795,63203952,63116860,63193282,"[[63116860, 63203952]]",Mypn
ENSMUSG00000020069,chr10,-,63014664,63023894,63015641,63019504,"[[63015641, 63023894]]",Hnrnph3
ENSMUSG00000020070,chr10,+,62980239,63013955,62980329,63011730,"[[62980239, 63011730]]",Rufy2
ENSMUSG00000020074,chr10,-,62743928,62792286,62744766,62790993,"[[62744766, 62792286]]",Ccar1
ENSMUSG00000020075,chr10,-,62580251,62602281,62582353,62602214,"[[62582353, 62602281]]",Ddx21
ENSMUSG00000020076,chr10,-,62615895,62651218,62616241,62651111,"[[62616241, 62651218]]",Ddx50
ENSMUSG00000020077,chr10,-,62493833,62527451,62494869,62507714,"[[62494869, 62527451]]",Srgn
ENSMUSG00000020078,chr10,-,62455235,62486805,62456748,62486660,"[[62456748, 62486805]]",Vps26a
ENSMUSG00000020079,chr10,-,62429209,62449738,62429423,62449685,"[[62429423, 62449738]]",Supv3l1
ENSMUSG00000020080,chr10,-,62383137,62422491,62383778,62422360,"[[62383778, 62422491]]",Hkdc1
ENSMUSG00000020081,chr10,+,62252438,62265990,62252818,62265264,"[[62252438, 62265264]]",Tacr2
ENSMUSG00000020083,chr10,-,62107655,62143910,62108857,62134521,"[[62108857, 62143910]]",Fam241b
ENSMUSG00000020085,chr10,+,61715263,61739260,61725877,61738568,"[[61715263, 61738568]]",Aifm2
ENSMUSG00000020086,chr10,-,61738665,61784147,61739300,61757895,"[[61739300, 61784147]]",H2afy2
ENSMUSG00000020087,chr10,+,61695514,61702773,61695571,61702248,"[[61695514, 61702248]]",Tysnd1
ENSMUSG00000020088,chr10,+,61680299,61693297,61684896,61691398,"[[61680299, 61691398]]",Sar1a
ENSMUSG00000020089,chr10,+,61648552,61674168,61648728,61673847,"[[61648552, 61673847]]",Ppa1
ENSMUSG00000020090,chr10,+,61595492,61628565,61595492,61626382,"[[61595492, 61626382]]",Npffr1
ENSMUSG00000020091,chr10,-,61428491,61452661,61433800,61452546,"[[61433800, 61452661]]",Eif4ebp2
ENSMUSG00000020092,chr10,-,61319656,61383530,61321093,61356007,"[[61321093, 61383530]]",Pald1
ENSMUSG00000020096,chr10,+,61171954,61188841,61174412,61188672,"[[61171954, 61188672]]",Tbata
ENSMUSG00000020097,chr10,-,61098642,61147703,61100871,61146284,"[[61100871, 61147703]]",Sgpl1
ENSMUSG00000020098,chr10,+,61089331,61094324,61089414,61093902,"[[61089331, 61093902]]",Pcbd1
ENSMUSG00000020099,chr10,-,60762593,60831581,60765211,60831165,"[[60765211, 60831581]]",Unc5b
ENSMUSG00000020100,chr10,-,60712072,60752782,60715839,60752734,"[[60715839, 60752782]]",Slc29a3
ENSMUSG00000020101,chr10,+,60346851,60372684,60347022,60368936,"[[60346851, 60368936]]",Vsir
ENSMUSG00000020102,chr10,-,125219270,125389465,125228015,125294814,"[[125228015, 125389465]]",Slc16a7
ENSMUSG00000020105,chr10,+,125966253,126015359,125966476,126014917,"[[125966253, 126014917]]",Lrig3
ENSMUSG00000020107,chr10,-,59987409,60003135,59988726,60002449,"[[59988726, 60003135]]",Anapc16
ENSMUSG00000020108,chr10,-,59949669,59951834,59950539,59951512,"[[59950539, 59951834]]",Ddit4
ENSMUSG00000020109,chr10,+,59879556,59899302,59879678,59897517,"[[59879556, 59897517]]",Dnajb12
ENSMUSG00000020111,chr10,+,59702477,59864132,59727958,59863333,"[[59702477, 59863333]]",Micu1
ENSMUSG00000020114,chr10,-,119199255,119240055,119202984,119239708,"[[119202984, 119240055]]",Cand1
ENSMUSG00000020115,chr10,-,121546455,121586787,121547140,121584282,"[[121547140, 121586787]]",Tbk1
ENSMUSG00000020116,chr11,-,17203198,17211568,17203937,17211507,"[[17203937, 17211568]]",Pno1
ENSMUSG00000020120,chr11,-,16971206,17052381,16974153,17008598,"[[16974153, 17052381]]",Plek
ENSMUSG00000020121,chr10,-,121780991,122047315,121785401,122047193,"[[121785401, 122047315]]",Srgap1
ENSMUSG00000020122,chr11,+,16752203,16918158,16752483,16911852,"[[16752203, 16911852]]",Egfr
ENSMUSG00000020123,chr10,+,122448499,122453452,122448805,122452357,"[[122448499, 122452357]]",Avpr1a
ENSMUSG00000020124,chr10,-,123105006,123196995,123113508,123196926,"[[123113508, 123196995]]",Usp15
ENSMUSG00000020125,chr10,+,79886247,79888215,79886335,79888114,"[[79886247, 79888114]]",Elane
ENSMUSG00000020128,chr11,+,21239281,21321136,21263219,21319855,"[[21239281, 21319855]]",Vps54
ENSMUSG00000020130,chr10,-,115197872,115251467,115199555,115251411,"[[115199555, 115251467]]",Tbc1d15
ENSMUSG00000020131,chr10,-,80321283,80329498,80321809,80329450,"[[80321809, 80329498]]",Pcsk4
ENSMUSG00000020132,chr10,-,115287084,115315594,115290775,115315346,"[[115290775, 115315594]]",Rab21
ENSMUSG00000020133,chr10,-,80318254,80320537,80319351,80320312,"[[80319351, 80320537]]",2310011J03Rik
ENSMUSG00000020134,chr11,+,21091291,21150323,21136115,21148520,"[[21091291, 21148520]]",Peli1
ENSMUSG00000020135,chr10,+,80295977,80318263,80296000,80316022,"[[80295977, 80316022]]",Apc2
ENSMUSG00000020137,chr10,-,115368404,115384443,115372563,115384292,"[[115372563, 115384443]]",Thap2
ENSMUSG00000020140,chr10,-,115450311,115587780,115452017,115587493,"[[115452017, 115587780]]",Lgr5
ENSMUSG00000020142,chr11,-,20302180,20332713,20304269,20332472,"[[20304269, 20332713]]",Slc1a4
ENSMUSG00000020143,chr11,-,34226815,34783892,34227671,34783823,"[[34227671, 34783892]]",Dock2
ENSMUSG00000020149,chr11,+,20201432,20226856,20201630,20224842,"[[20201432, 20224842]]",Rab1a
ENSMUSG00000020150,chr10,-,80258151,80261012,80258320,80260901,"[[80258320, 80261012]]",Gamt
ENSMUSG00000020151,chr10,+,116018213,116274932,116018755,116273823,"[[116018213, 116273823]]",Ptprr
ENSMUSG00000020152,chr11,-,20062304,20112913,20064692,20112852,"[[20064692, 20112913]]",Actr2
ENSMUSG00000020153,chr10,+,80249121,80256793,80249476,80256730,"[[80249121, 80256730]]",Ndufs7
ENSMUSG00000020154,chr10,+,116275550,116389535,116275577,116383872,"[[116275550, 116383872]]",Ptprb
ENSMUSG00000020155,chr11,+,33963013,33973641,33964701,33970361,"[[33963013, 33970361]]",Kcnmb1
ENSMUSG00000020156,chr10,+,80226434,80243903,80228382,80243640,"[[80226434, 80243640]]",Pwwp3a
ENSMUSG00000020159,chr11,-,33550781,33578959,33552543,33573370,"[[33552543, 33578959]]",Gabrp
ENSMUSG00000020160,chr11,-,18879817,19018985,18881642,19018232,"[[18881642, 19018985]]",Meis1
ENSMUSG00000020163,chr10,-,80402997,80406830,80404169,80406745,"[[80404169, 80406830]]",Uqcr11
ENSMUSG00000020166,chr10,-,116485161,116581511,116486203,116549080,"[[116486203, 116581511]]",Cnot2
ENSMUSG00000020167,chr10,-,80409514,80433647,80410135,80431011,"[[80410135, 80433647]]",Tcf3
ENSMUSG00000020169,chr10,+,116986314,117025040,116988631,117024843,"[[116986314, 117024843]]",Best3
ENSMUSG00000020170,chr10,-,117069427,117148510,117073932,117081087,"[[117073932, 117148510]]",Frs2
ENSMUSG00000020171,chr10,-,117215222,117224507,117215670,117224309,"[[117215670, 117224507]]",Yeats4
ENSMUSG00000020173,chr11,-,12236608,12464960,12238045,12464722,"[[12238045, 12464960]]",Cobl
ENSMUSG00000020175,chr10,+,75037066,75054748,75038452,75052526,"[[75037066, 75052526]]",Rab36
ENSMUSG00000020176,chr11,-,11930508,12038683,11933466,11970616,"[[11933466, 12038683]]",Grb10
ENSMUSG00000020178,chr10,+,75316877,75334784,75326029,75333933,"[[75316877, 75333933]]",Adora2a
ENSMUSG00000020180,chr10,+,75517551,75537381,75519335,75535332,"[[75517551, 75535332]]",Snrpd3
ENSMUSG00000020181,chr10,-,109681259,110000219,109684123,110000219,"[[109684123, 110000219]]",Nav3
ENSMUSG00000020182,chr11,-,11814101,11898144,11815231,11880642,"[[11815231, 11898144]]",Ddc
ENSMUSG00000020183,chr10,+,117629500,117687352,117629724,117683517,"[[117629500, 117683517]]",Cpm
ENSMUSG00000020184,chr10,-,117688875,117710758,117690213,117709780,"[[117690213, 117710758]]",Mdm2
ENSMUSG00000020185,chr10,+,110745465,110787384,110746332,110784835,"[[110745465, 110784835]]",E2f7
ENSMUSG00000020186,chr10,+,110919789,110939622,110931956,110939284,"[[110919789, 110939284]]",Csrp2
ENSMUSG00000020189,chr10,+,111164752,111297249,111204799,111293221,"[[111164752, 111293221]]",Osbpl8
ENSMUSG00000020190,chr10,-,80665327,80678112,80667110,80675874,"[[80667110, 80678112]]",Mknk2
ENSMUSG00000020191,chr11,+,11464256,11515192,11464256,11515097,"[[11464256, 11515097]]",Spata48
ENSMUSG00000020193,chr11,-,11279626,11462408,11282606,11462364,"[[11282606, 11462408]]",Zpbp
ENSMUSG00000020196,chr10,-,75646112,75764316,75646547,75755371,"[[75646547, 75764316]]",Cabin1
ENSMUSG00000020198,chr10,-,80706956,80742264,80707891,80741991,"[[80707891, 80742264]]",Ap3d1
ENSMUSG00000020205,chr10,+,111506286,111508645,111506405,111507619,"[[111506286, 111507619]]",Phlda1
ENSMUSG00000020211,chr10,+,80798198,80804924,80801233,80804811,"[[80798198, 80804811]]",Sf3a2
ENSMUSG00000020212,chr10,+,118141832,118168997,118141945,118168160,"[[118141832, 118168160]]",Mdm1
ENSMUSG00000020213,chr10,+,112060189,112078510,112060310,112078443,"[[112060189, 112078443]]",Glipr1l1
ENSMUSG00000020214,chr10,+,112083354,112108098,112083376,112107237,"[[112083354, 112107237]]",Glipr1l2
ENSMUSG00000020216,chr10,-,80808496,80813498,80808575,80812412,"[[80808575, 80813498]]",Jsrp1
ENSMUSG00000020218,chr10,+,121033960,121100650,121034343,121099876,"[[121033960, 121099876]]",Wif1
ENSMUSG00000020219,chr10,-,80899450,80900969,80900164,80900743,"[[80900164, 80900969]]",Timm13
ENSMUSG00000020220,chr4,-,144972622,145195005,144975140,145190592,"[[144975140, 145195005]]",Vps13d
ENSMUSG00000020224,chr10,+,120227070,120232582,120227981,120231369,"[[120227070, 120231369]]",Llph
ENSMUSG00000020225,chr10,+,120208750,120224917,120208846,120224823,"[[120208750, 120224823]]",Tmbim4
ENSMUSG00000020227,chr10,-,120141648,120202130,120142718,120201459,"[[120142718, 120202130]]",Irak3
ENSMUSG00000020228,chr10,-,120083608,120112987,120084815,120112862,"[[120084815, 120112987]]",Helb
ENSMUSG00000020229,chr10,+,76147451,76189265,76147531,76189258,"[[76147451, 76189258]]",Slc5a4a
ENSMUSG00000020230,chr10,-,76207222,76237865,76207764,76236765,"[[76207764, 76237865]]",Prmt2
ENSMUSG00000020231,chr10,-,76262736,76345291,76264624,76345197,"[[76264624, 76345291]]",Dip2a
ENSMUSG00000020232,chr10,-,81346048,81350480,81346468,81350171,"[[81346468, 81350480]]",Hmg20b
ENSMUSG00000020234,chr10,-,81363067,81365816,81363969,81365786,"[[81363969, 81365816]]",4930404N11Rik
ENSMUSG00000020235,chr10,-,81366222,81378516,81367512,81371413,"[[81367512, 81378516]]",Fzr1
ENSMUSG00000020238,chr10,-,81486249,81496392,81487549,81496263,"[[81487549, 81496392]]",Ncln
ENSMUSG00000020241,chr10,-,76595762,76623630,76596216,76615205,"[[76596216, 76623630]]",Col6a2
ENSMUSG00000020246,chr10,+,82699007,82742428,82699144,82741309,"[[82699007, 82741309]]",Hcfc2
ENSMUSG00000020248,chr10,-,82748701,82764144,82750418,82761838,"[[82750418, 82764144]]",Nfyb
ENSMUSG00000020250,chr10,+,82833951,82897712,82872970,82896042,"[[82833951, 82896042]]",Txnrd1
ENSMUSG00000020251,chr10,-,82650433,82690650,82651352,82672081,"[[82651352, 82690650]]",Glt8d2
ENSMUSG00000020253,chr9,-,106194947,106199275,106195017,106199193,"[[106195017, 106199275]]",Ppm1m
ENSMUSG00000020255,chr10,+,83360221,83488505,83360259,83365919,"[[83360221, 83365919]]",D10Wsu102e
ENSMUSG00000020256,chr10,-,83487450,83534140,83490582,83534014,"[[83490582, 83534140]]",Aldh1l2
ENSMUSG00000020257,chr9,+,106170928,106191139,106171219,106188622,"[[106170928, 106188622]]",Wdr82
ENSMUSG00000020258,chr9,-,106152857,106158138,106155244,106157865,"[[106155244, 106158138]]",Glyctk
ENSMUSG00000020260,chr10,+,77259218,77269575,77259323,77268677,"[[77259218, 77268677]]",Pofut2
ENSMUSG00000020261,chr11,+,55204350,55236330,55213935,55232635,"[[55204350, 55232635]]",Slc36a1
ENSMUSG00000020262,chr10,-,77290726,77418270,77294785,77325893,"[[77294785, 77418270]]",Adarb1
ENSMUSG00000020263,chr10,-,83600033,83648738,83600822,83648581,"[[83600822, 83648738]]",Appl2
ENSMUSG00000020264,chr11,-,55158470,55185077,55159347,55184959,"[[55159347, 55185077]]",Slc36a2
ENSMUSG00000020265,chr10,+,77606097,77618331,77606321,77616673,"[[77606097, 77616673]]",Sumo3
ENSMUSG00000020267,chr11,+,54866383,54870501,54866490,54870350,"[[54866383, 54870350]]",Hint1
ENSMUSG00000020268,chr11,-,54838359,54860912,54841135,54860569,"[[54841135, 54860912]]",Lyrm7
ENSMUSG00000020270,chr11,-,32818529,32824605,32818587,32824517,"[[32818587, 32824605]]",Smim23
ENSMUSG00000020271,chr11,+,32642724,32746816,32642891,32742617,"[[32642724, 32742617]]",Fbxw11
ENSMUSG00000020272,chr11,+,32533305,32624587,32533404,32622558,"[[32533305, 32622558]]",Stk10
ENSMUSG00000020273,chr11,-,23862646,23895253,23863961,23895038,"[[23863961, 23895253]]",Papolg
ENSMUSG00000020275,chr11,-,23736847,23770970,23742268,23770689,"[[23742268, 23770970]]",Rel
ENSMUSG00000020277,chr10,-,77986947,78010083,77988213,78009683,"[[77988213, 78010083]]",Pfkl
ENSMUSG00000020279,chr11,-,32187541,32200236,32190615,32200218,"[[32190615, 32200236]]",Il9r
ENSMUSG00000020280,chr11,+,23665674,23732876,23667289,23731356,"[[23665674, 23731356]]",Pus10
ENSMUSG00000020282,chr11,-,32209585,32222300,32209807,32216258,"[[32209807, 32222300]]",Rhbdf1
ENSMUSG00000020283,chr11,-,23646479,23665959,23649295,23665844,"[[23649295, 23665959]]",Pex13
ENSMUSG00000020284,chr10,+,77978524,77986905,77978705,77985053,"[[77978524, 77985053]]",Cfap410
ENSMUSG00000020286,chr11,-,23516203,23521155,23516443,23518929,"[[23516443, 23521155]]",1700093K21Rik
ENSMUSG00000020287,chr11,+,32226511,32232700,32226541,32231992,"[[32226511, 32231992]]",Mpg
ENSMUSG00000020288,chr11,-,23487882,23498030,23490401,23497854,"[[23490401, 23498030]]",Ahsa2
ENSMUSG00000020289,chr11,-,32231963,32267707,32232954,32267540,"[[32232954, 32267707]]",Nprl3
ENSMUSG00000020290,chr11,+,23256041,23298249,23261841,23296104,"[[23256041, 23296104]]",Xpo1
ENSMUSG00000020297,chr11,+,32000463,32059202,32001752,32057631,"[[32000463, 32057631]]",Nsg2
ENSMUSG00000020299,chr11,+,31965592,31979651,31965660,31976803,"[[31965592, 31976803]]",4930524B15Rik
ENSMUSG00000020300,chr11,+,31872211,31935634,31872288,31931529,"[[31872211, 31931529]]",Cpeb4
ENSMUSG00000020303,chr11,-,31357307,31370074,31360147,31369862,"[[31360147, 31370074]]",Stc2
ENSMUSG00000020305,chr11,+,30885416,31102704,30885443,31101239,"[[30885416, 31101239]]",Asb3
ENSMUSG00000020307,chr10,+,79682195,79688398,79682414,79688056,"[[79682195, 79688056]]",Cdc34
ENSMUSG00000020308,chr10,+,79669369,79676127,79669410,79675934,"[[79669369, 79675934]]",Tpgs1
ENSMUSG00000020309,chr11,-,30976707,30986350,30977384,30986246,"[[30977384, 30986350]]",Chac2
ENSMUSG00000020310,chr10,+,79664559,79668537,79664607,79668364,"[[79664559, 79668364]]",Madcam1
ENSMUSG00000020311,chr11,-,30930774,30954152,30931780,30954075,"[[30931780, 30954152]]",Erlec1
ENSMUSG00000020312,chr10,-,79618652,79637918,79621062,79637850,"[[79621062, 79637918]]",Shc2
ENSMUSG00000020315,chr11,-,30099395,30268169,30100499,30219726,"[[30100499, 30268169]]",Sptbn1
ENSMUSG00000020317,chr10,-,79576379,79587331,79576531,79587066,"[[79576531, 79587331]]",Theg
ENSMUSG00000020319,chr11,+,21572235,21898989,21652250,21898523,"[[21572235, 21898523]]",Wdpcp
ENSMUSG00000020321,chr11,-,21556692,21572367,21557383,21571732,"[[21557383, 21572367]]",Mdh1
ENSMUSG00000020323,chr10,-,79781474,79790961,79783272,79788942,"[[79783272, 79790961]]",Prss57
ENSMUSG00000020325,chr10,+,79777272,79782630,79777301,79781472,"[[79777272, 79781472]]",Fstl3
ENSMUSG00000020326,chr11,-,40748552,40755311,40750871,40754068,"[[40750871, 40755311]]",Ccng1
ENSMUSG00000020327,chr10,+,79755076,79758596,79755119,79757074,"[[79755076, 79757074]]",Fgf22
ENSMUSG00000020328,chr11,+,40733667,40740046,40733966,40739239,"[[40733667, 40739239]]",Nudcd2
ENSMUSG00000020329,chr10,-,79736127,79746581,79736237,79746552,"[[79736237, 79746581]]",Polrmt
ENSMUSG00000020330,chr11,-,40701395,40733422,40702842,40733359,"[[40702842, 40733422]]",Hmmr
ENSMUSG00000020331,chr10,+,79716634,79736108,79716669,79735537,"[[79716634, 79735537]]",Hcn2
ENSMUSG00000020333,chr11,+,54303798,54364756,54304285,54361289,"[[54303798, 54361289]]",Acsl6
ENSMUSG00000020334,chr11,-,53983123,54028090,53983613,54027976,"[[53983613, 54028090]]",Slc22a4
ENSMUSG00000020335,chr11,-,50921823,50931633,50922294,50930933,"[[50922294, 50931633]]",Zfp354b
ENSMUSG00000020340,chr11,-,46193850,46312859,46196303,46291629,"[[46196303, 46312859]]",Cyfip2
ENSMUSG00000020346,chr11,+,49244191,49263030,49260692,49262032,"[[49244191, 49262032]]",Mgat1
ENSMUSG00000020349,chr11,+,52098681,52127778,52099049,52121971,"[[52098681, 52121971]]",Ppp2ca
