mouse_ensembl_gene,chromosome,KO_intervals,KO_ttaas
ENSMUSG00000019832,10,"[[10546305, 10558265]]",66
ENSMUSG00000019834,10,"[[40570336, 40603943]]",167
ENSMUSG00000019837,10,"[[40249536, 40258108]]",44
ENSMUSG00000019838,10,"[[40037175, 40142255]]",669
ENSMUSG00000019841,10,"[[39732118, 39874221]]",1161
ENSMUSG00000019842,10,"[[39612934, 39654526]]",190
ENSMUSG00000019843,10,"[[39368855, 39563969]]",951
ENSMUSG00000019845,10,"[[39134023, 39149614]]",113
ENSMUSG00000019846,10,"[[38965515, 39110030]]",949
ENSMUSG00000019848,10,"[[45178098, 45317977]]",781
ENSMUSG00000019849,10,"[[45067203, 45158523]]",481
ENSMUSG00000019850,10,"[[19002734, 19015657]]",67
ENSMUSG00000019851,10,"[[18845020, 18855873]]",65
ENSMUSG00000019852,10,"[[18589584, 18743949]]",833
ENSMUSG00000019853,10,"[[18541137, 18546076]]",20
ENSMUSG00000019854,10,"[[18055861, 18124945]]",500
ENSMUSG00000019856,10,"[[53633633, 53751123]]",771
ENSMUSG00000019857,10,"[[53596757, 53607874]]",100
ENSMUSG00000019861,10,"[[52336285, 52382124]]",351
ENSMUSG00000019863,10,"[[43874486, 43901745]]",170
ENSMUSG00000019864,10,"[[43901807, 43946525]]",257
ENSMUSG00000019865,10,"[[14705591, 14770553]]",502
ENSMUSG00000019866,10,"[[43951872, 44148853]]",1045
ENSMUSG00000019867,10,"[[14716422, 14718214]]",16
ENSMUSG00000019868,10,"[[14655703, 14705560]]",390
ENSMUSG00000019872,10,"[[57794335, 57811512]]",149
ENSMUSG00000019873,10,"[[67013733, 67096945]]",503
ENSMUSG00000019874,10,"[[57784881, 57788170]]",25
ENSMUSG00000019876,10,"[[57631981, 57736354]]",697
ENSMUSG00000019877,10,"[[57517160, 57532530]]",121
ENSMUSG00000019878,10,"[[57486396, 57512195]]",221
ENSMUSG00000019880,10,"[[29452736, 29535867]]",666
ENSMUSG00000019883,10,"[[29313166, 29344746]]",232
ENSMUSG00000019888,10,"[[101681487, 102389360]]",5624
ENSMUSG00000019889,10,"[[28074820, 28595852]]",3886
ENSMUSG00000019890,10,"[[102482334, 102490486]]",68
ENSMUSG00000019891,10,"[[52233619, 52319993]]",470
ENSMUSG00000019892,10,"[[103046034, 103236322]]",1635
ENSMUSG00000019893,10,"[[52046019, 52195244]]",900
ENSMUSG00000019894,10,"[[103367808, 103418391]]",390
ENSMUSG00000019897,10,"[[105841067, 105847175]]",44
ENSMUSG00000019899,10,"[[26981498, 27616843]]",4621
ENSMUSG00000019900,10,"[[51677756, 51729803]]",430
ENSMUSG00000019905,10,"[[51614868, 51631461]]",117
ENSMUSG00000019906,10,"[[107271686, 107412168]]",969
ENSMUSG00000019907,10,"[[108162193, 108277290]]",974
ENSMUSG00000019909,10,"[[51585495, 51590517]]",39
ENSMUSG00000019913,10,"[[50894754, 50984338]]",592
ENSMUSG00000019916,10,"[[59323296, 59371071]]",393
ENSMUSG00000019917,10,"[[59141653, 59221847]]",490
ENSMUSG00000019920,10,"[[58323466, 58421565]]",653
ENSMUSG00000019923,10,"[[72654845, 72657383]]",4
ENSMUSG00000019927,10,"[[71255832, 71285262]]",189
ENSMUSG00000019929,10,"[[97479609, 97517652]]",296
ENSMUSG00000019932,10,"[[97606879, 97612972]]",32
ENSMUSG00000019935,10,"[[89576319, 89621253]]",216
ENSMUSG00000019936,10,"[[97644068, 97681267]]",280
ENSMUSG00000019942,10,"[[69338501, 69352938]]",78
ENSMUSG00000019943,10,"[[98914406, 99023333]]",789
ENSMUSG00000019944,10,"[[69151434, 69289686]]",669
ENSMUSG00000019945,10,"[[68431252, 68541896]]",632
ENSMUSG00000019947,10,"[[68096507, 68278740]]",1037
ENSMUSG00000019948,10,"[[89712434, 89732295]]",151
ENSMUSG00000019951,10,"[[89744991, 89818048]]",499
ENSMUSG00000019952,10,"[[99107036, 99196727]]",489
ENSMUSG00000019960,10,"[[99263231, 99266296]]",18
ENSMUSG00000019961,10,"[[91149479, 91171582]]",171
ENSMUSG00000019966,10,"[[100015630, 100089232]]",453
ENSMUSG00000019970,10,"[[21882184, 21998824]]",649
ENSMUSG00000019971,10,"[[100487558, 100573104]]",707
ENSMUSG00000019975,10,"[[91082940, 91102501]]",146
ENSMUSG00000019977,10,"[[21295979, 21368297]]",484
ENSMUSG00000019978,10,"[[25359798, 25513077]]",901
ENSMUSG00000019979,10,"[[90991453, 91082770]]",563
ENSMUSG00000019982,10,"[[21126176, 21160984]]",236
ENSMUSG00000019984,10,"[[24869986, 24912824]]",264
ENSMUSG00000019986,10,"[[20952547, 21074477]]",848
ENSMUSG00000019987,10,"[[24915613, 24927484]]",71
ENSMUSG00000019988,10,"[[92686194, 92722420]]",319
ENSMUSG00000019989,10,"[[24773905, 24842823]]",448
ENSMUSG00000019990,10,"[[20400421, 20725078]]",1942
ENSMUSG00000019992,10,"[[20347770, 20360537]]",58
ENSMUSG00000019996,10,"[[20148471, 20280003]]",793
ENSMUSG00000019997,10,"[[24595442, 24597608]]",3
ENSMUSG00000019998,10,"[[24149317, 24187717]]",226
ENSMUSG00000020000,10,"[[24223517, 24301626]]",535
ENSMUSG00000020003,10,"[[19860929, 19907689]]",376
ENSMUSG00000020007,10,"[[19712570, 19759650]]",274
ENSMUSG00000020009,10,"[[19591949, 19609685]]",113
ENSMUSG00000020010,10,"[[23851462, 23869654]]",168
ENSMUSG00000020014,10,"[[92776182, 93081618]]",1701
ENSMUSG00000020015,10,"[[93160890, 93239622]]",568
ENSMUSG00000020017,10,"[[93488768, 93516319]]",121
ENSMUSG00000020018,10,"[[93583467, 93589706]]",51
ENSMUSG00000020019,10,"[[93640681, 93745850]]",601
ENSMUSG00000020020,10,"[[93833818, 93857925]]",133
ENSMUSG00000020021,10,"[[94036001, 94141786]]",572
ENSMUSG00000020022,10,"[[94198955, 94220858]]",124
ENSMUSG00000020023,10,"[[94312024, 94587027]]",1354
ENSMUSG00000020024,10,"[[94688654, 94789805]]",809
ENSMUSG00000020027,10,"[[95412656, 95417180]]",21
ENSMUSG00000020029,10,"[[95549291, 95564146]]",81
ENSMUSG00000020032,10,"[[84374249, 84440597]]",222
ENSMUSG00000020034,10,"[[84576626, 84613723]]",181
ENSMUSG00000020037,10,"[[84756062, 84905224]]",641
ENSMUSG00000020038,10,"[[85133058, 85185064]]",357
ENSMUSG00000020042,10,"[[85386814, 85658346]]",1120
ENSMUSG00000020044,10,"[[86300372, 86345899]]",178
ENSMUSG00000020048,10,"[[86691105, 86705509]]",86
ENSMUSG00000020051,10,"[[87521795, 87583575]]",353
ENSMUSG00000020052,10,"[[87492396, 87493660]]",2
ENSMUSG00000020053,10,"[[87858265, 87930731]]",450
ENSMUSG00000020056,10,"[[88201093, 88245837]]",285
ENSMUSG00000020057,10,"[[88324744, 88379080]]",276
ENSMUSG00000020059,10,"[[88459569, 88472955]]",149
ENSMUSG00000020061,10,"[[88518472, 88605152]]",604
ENSMUSG00000020062,10,"[[88885992, 88926332]]",260
ENSMUSG00000020063,10,"[[63320639, 63381704]]",369
ENSMUSG00000020064,10,"[[63243911, 63317485]]",580
ENSMUSG00000020067,10,"[[63116860, 63203952]]",469
ENSMUSG00000020069,10,"[[63015641, 63023894]]",76
ENSMUSG00000020070,10,"[[62980239, 63011730]]",163
ENSMUSG00000020074,10,"[[62744766, 62792286]]",385
ENSMUSG00000020075,10,"[[62582353, 62602281]]",105
ENSMUSG00000020076,10,"[[62616241, 62651218]]",286
ENSMUSG00000020077,10,"[[62494869, 62527451]]",170
ENSMUSG00000020078,10,"[[62456748, 62486805]]",229
ENSMUSG00000020079,10,"[[62429423, 62449738]]",106
ENSMUSG00000020080,10,"[[62383778, 62422491]]",119
ENSMUSG00000020081,10,"[[62252438, 62265264]]",62
ENSMUSG00000020083,10,"[[62108857, 62143910]]",122
ENSMUSG00000020085,10,"[[61715263, 61738568]]",98
ENSMUSG00000020086,10,"[[61739300, 61784147]]",202
ENSMUSG00000020087,10,"[[61695514, 61702248]]",16
ENSMUSG00000020088,10,"[[61680299, 61691398]]",68
ENSMUSG00000020089,10,"[[61648552, 61673847]]",164
ENSMUSG00000020090,10,"[[61595492, 61626382]]",143
ENSMUSG00000020091,10,"[[61433800, 61452661]]",96
ENSMUSG00000020092,10,"[[61321093, 61383530]]",160
ENSMUSG00000020096,10,"[[61171954, 61188672]]",36
ENSMUSG00000020097,10,"[[61100871, 61147703]]",332
ENSMUSG00000020098,10,"[[61089331, 61093902]]",21
ENSMUSG00000020099,10,"[[60765211, 60831581]]",155
ENSMUSG00000020100,10,"[[60715839, 60752782]]",95
ENSMUSG00000020101,10,"[[60346851, 60368936]]",56
ENSMUSG00000020102,10,"[[125228015, 125389465]]",1081
ENSMUSG00000020105,10,"[[125966253, 126014917]]",286
ENSMUSG00000020107,10,"[[59988726, 60003135]]",86
ENSMUSG00000020108,10,"[[59950539, 59951834]]",1
ENSMUSG00000020109,10,"[[59879556, 59897517]]",57
ENSMUSG00000020111,10,"[[59702477, 59863333]]",892
ENSMUSG00000020114,10,"[[119202984, 119240055]]",291
ENSMUSG00000020115,10,"[[121547140, 121586787]]",183
ENSMUSG00000020121,10,"[[121785401, 122047315]]",1446
ENSMUSG00000020123,10,"[[122448499, 122452357]]",21
ENSMUSG00000020124,10,"[[123113508, 123196995]]",662
ENSMUSG00000020125,10,"[[79886247, 79888114]]",4
ENSMUSG00000020130,10,"[[115199555, 115251467]]",334
ENSMUSG00000020131,10,"[[80321809, 80329498]]",16
ENSMUSG00000020132,10,"[[115290775, 115315594]]",170
ENSMUSG00000020133,10,"[[80319351, 80320537]]",1
ENSMUSG00000020135,10,"[[80295977, 80316022]]",35
ENSMUSG00000020137,10,"[[115372563, 115384443]]",96
ENSMUSG00000020140,10,"[[115452017, 115587780]]",865
ENSMUSG00000020150,10,"[[80258320, 80261012]]",3
ENSMUSG00000020151,10,"[[116018213, 116273823]]",1504
ENSMUSG00000020153,10,"[[80249121, 80256730]]",18
ENSMUSG00000020154,10,"[[116275550, 116383872]]",585
ENSMUSG00000020156,10,"[[80226434, 80243640]]",37
ENSMUSG00000020163,10,"[[80404169, 80406830]]",7
ENSMUSG00000020166,10,"[[116486203, 116581511]]",897
ENSMUSG00000020167,10,"[[80410135, 80433647]]",50
ENSMUSG00000020169,10,"[[116986314, 117024843]]",186
ENSMUSG00000020170,10,"[[117073932, 117148510]]",546
ENSMUSG00000020171,10,"[[117215670, 117224507]]",43
ENSMUSG00000020175,10,"[[75037066, 75052526]]",42
ENSMUSG00000020178,10,"[[75316877, 75333933]]",35
ENSMUSG00000020180,10,"[[75517551, 75535332]]",98
ENSMUSG00000020181,10,"[[109684123, 110000219]]",2433
ENSMUSG00000020183,10,"[[117629500, 117683517]]",286
ENSMUSG00000020184,10,"[[117690213, 117710758]]",151
ENSMUSG00000020185,10,"[[110745465, 110784835]]",190
ENSMUSG00000020186,10,"[[110919789, 110939284]]",107
ENSMUSG00000020189,10,"[[111164752, 111293221]]",952
ENSMUSG00000020190,10,"[[80667110, 80678112]]",12
ENSMUSG00000020196,10,"[[75646547, 75764316]]",379
ENSMUSG00000020198,10,"[[80707891, 80742264]]",93
ENSMUSG00000020205,10,"[[111506286, 111507619]]",1
ENSMUSG00000020211,10,"[[80798198, 80804811]]",17
ENSMUSG00000020212,10,"[[118141832, 118168160]]",142
ENSMUSG00000020213,10,"[[112060189, 112078443]]",138
ENSMUSG00000020214,10,"[[112083354, 112107237]]",209
ENSMUSG00000020216,10,"[[80808575, 80813498]]",7
ENSMUSG00000020218,10,"[[121033960, 121099876]]",375
ENSMUSG00000020219,10,"[[80900164, 80900969]]",1
ENSMUSG00000020224,10,"[[120227070, 120231369]]",21
ENSMUSG00000020225,10,"[[120208750, 120224823]]",107
ENSMUSG00000020227,10,"[[120142718, 120202130]]",367
ENSMUSG00000020228,10,"[[120084815, 120112987]]",152
ENSMUSG00000020229,10,"[[76147451, 76189258]]",205
ENSMUSG00000020230,10,"[[76207764, 76237865]]",154
ENSMUSG00000020231,10,"[[76264624, 76345291]]",379
ENSMUSG00000020232,10,"[[81346468, 81350480]]",5
ENSMUSG00000020234,10,"[[81363969, 81365816]]",1
ENSMUSG00000020235,10,"[[81367512, 81378516]]",17
ENSMUSG00000020238,10,"[[81487549, 81496392]]",11
ENSMUSG00000020241,10,"[[76596216, 76623630]]",79
ENSMUSG00000020246,10,"[[82699007, 82741309]]",303
ENSMUSG00000020248,10,"[[82750418, 82764144]]",86
ENSMUSG00000020250,10,"[[82833951, 82896042]]",291
ENSMUSG00000020251,10,"[[82651352, 82690650]]",191
ENSMUSG00000020255,10,"[[83360221, 83365919]]",31
ENSMUSG00000020256,10,"[[83490582, 83534140]]",201
ENSMUSG00000020260,10,"[[77259218, 77268677]]",21
ENSMUSG00000020262,10,"[[77294785, 77418270]]",586
ENSMUSG00000020263,10,"[[83600822, 83648738]]",194
ENSMUSG00000020265,10,"[[77606097, 77616673]]",47
ENSMUSG00000020277,10,"[[77988213, 78010083]]",42
ENSMUSG00000020284,10,"[[77978524, 77985053]]",12
ENSMUSG00000020307,10,"[[79682195, 79688056]]",8
ENSMUSG00000020308,10,"[[79669369, 79675934]]",14
ENSMUSG00000020310,10,"[[79664559, 79668364]]",19
ENSMUSG00000020312,10,"[[79621062, 79637918]]",23
ENSMUSG00000020317,10,"[[79576531, 79587331]]",27
ENSMUSG00000020323,10,"[[79783272, 79790961]]",31
ENSMUSG00000020325,10,"[[79777272, 79781472]]",6
ENSMUSG00000020327,10,"[[79755076, 79757074]]",3
ENSMUSG00000020329,10,"[[79736237, 79746581]]",12
ENSMUSG00000020331,10,"[[79716634, 79735537]]",35
ENSMUSG00000023068,10,"[[52417547, 52436664]]",130
ENSMUSG00000023175,10,"[[79704491, 79711554]]",9
ENSMUSG00000025347,10,"[[128958722, 128960988]]",9
ENSMUSG00000025348,10,"[[128933818, 128957848]]",84
ENSMUSG00000025350,10,"[[128913716, 128922888]]",26
ENSMUSG00000025351,10,"[[128900989, 128912737]]",34
ENSMUSG00000025352,10,"[[128885109, 128891718]]",17
ENSMUSG00000025353,10,"[[128818883, 128821645]]",14
ENSMUSG00000025354,10,"[[128804062, 128817408]]",65
ENSMUSG00000025355,10,"[[128790910, 128799097]]",37
ENSMUSG00000025357,10,"[[128720426, 128744075]]",92
ENSMUSG00000025358,10,"[[128699109, 128705030]]",26
ENSMUSG00000025359,10,"[[128704195, 128720014]]",85
ENSMUSG00000025362,10,"[[128624604, 128626747]]",13
ENSMUSG00000025364,10,"[[128558909, 128565987]]",32
ENSMUSG00000025366,10,"[[128510623, 128525870]]",48
ENSMUSG00000025369,10,"[[128459248, 128490384]]",130
ENSMUSG00000025373,10,"[[128411657, 128438431]]",136
ENSMUSG00000025374,10,"[[128401727, 128411492]]",45
ENSMUSG00000025381,10,"[[128322459, 128327058]]",17
ENSMUSG00000025383,10,"[[128296799, 128298084]]",2
ENSMUSG00000025389,10,"[[128225838, 128230501]]",18
ENSMUSG00000025393,10,"[[128083273, 128090116]]",36
ENSMUSG00000025395,10,"[[128015168, 128029782]]",72
ENSMUSG00000025396,10,"[[127991251, 128007611]]",72
ENSMUSG00000025400,10,"[[127724478, 127729528]]",8
ENSMUSG00000025401,10,"[[127705170, 127720716]]",30
ENSMUSG00000025402,10,"[[127661673, 127668568]]",12
ENSMUSG00000025403,10,"[[127517792, 127522444]]",15
ENSMUSG00000025404,10,"[[127380327, 127499219]]",660
ENSMUSG00000025405,10,"[[127357090, 127370431]]",58
ENSMUSG00000025407,10,"[[127330050, 127341974]]",27
ENSMUSG00000025408,10,"[[127290774, 127296088]]",16
ENSMUSG00000025409,10,"[[127282836, 127289018]]",12
ENSMUSG00000025410,10,"[[127266387, 127281484]]",66
ENSMUSG00000025417,10,"[[127199067, 127211555]]",48
ENSMUSG00000025422,10,"[[127075284, 127091809]]",29
ENSMUSG00000025432,10,"[[127000709, 127020560]]",50
ENSMUSG00000025436,10,"[[126868660, 126901355]]",171
ENSMUSG00000025795,10,"[[121412939, 121476347]]",291
ENSMUSG00000028630,10,"[[118859555, 118869149]]",36
ENSMUSG00000032714,10,"[[78585505, 78591964]]",15
ENSMUSG00000032763,10,"[[78574346, 78584245]]",29
ENSMUSG00000032788,10,"[[78440804, 78464975]]",70
ENSMUSG00000032834,10,"[[78171963, 78185149]]",28
ENSMUSG00000032977,10,"[[77488353, 77515785]]",85
ENSMUSG00000033105,10,"[[76531607, 76553065]]",66
ENSMUSG00000033126,10,"[[76463236, 76469114]]",28
ENSMUSG00000033208,10,"[[76253853, 76260065]]",31
ENSMUSG00000033307,10,"[[75859480, 75860240]]",0
ENSMUSG00000033318,10,"[[75831888, 75837367]]",10
ENSMUSG00000033416,10,"[[75420706, 75517972]]",468
ENSMUSG00000033427,10,"[[75401115, 75439961]]",168
ENSMUSG00000033444,10,"[[75212073, 75309876]]",602
ENSMUSG00000034024,10,"[[117051232, 117063814]]",81
ENSMUSG00000034057,10,"[[116776731, 116896919]]",558
ENSMUSG00000034127,10,"[[115816832, 115849393]]",241
ENSMUSG00000034163,10,"[[115384959, 115432030]]",440
ENSMUSG00000034453,10,"[[84622292, 84725777]]",591
ENSMUSG00000034560,10,"[[83543941, 83594235]]",367
ENSMUSG00000034591,10,"[[83233568, 83337882]]",578
ENSMUSG00000034602,10,"[[122995673, 123076505]]",536
ENSMUSG00000034612,10,"[[82985498, 83191796]]",725
ENSMUSG00000034613,10,"[[122678778, 122941369]]",1327
ENSMUSG00000034620,10,"[[122081275, 122097371]]",106
ENSMUSG00000034667,10,"[[121590197, 121626332]]",232
ENSMUSG00000034674,10,"[[82629828, 82648717]]",102
ENSMUSG00000034707,10,"[[121365090, 121395123]]",140
ENSMUSG00000034748,10,"[[81622416, 81627797]]",11
ENSMUSG00000034758,10,"[[81591038, 81601073]]",31
ENSMUSG00000034771,10,"[[81574734, 81590473]]",37
ENSMUSG00000034781,10,"[[81530798, 81545190]]",23
ENSMUSG00000034792,10,"[[81502882, 81524225]]",50
ENSMUSG00000034813,10,"[[119453830, 120086989]]",3643
ENSMUSG00000034818,10,"[[81462217, 81482709]]",26
ENSMUSG00000034833,10,"[[130322877, 130364032]]",258
ENSMUSG00000034854,10,"[[81357491, 81363789]]",9
ENSMUSG00000034872,10,"[[81337886, 81343266]]",22
ENSMUSG00000034881,10,"[[81328731, 81334704]]",13
ENSMUSG00000034889,10,"[[81321103, 81325951]]",7
ENSMUSG00000034902,10,"[[81292963, 81317403]]",36
ENSMUSG00000034917,10,"[[81273290, 81291581]]",37
ENSMUSG00000034932,10,"[[81264868, 81266934]]",5
ENSMUSG00000034949,10,"[[81233155, 81251431]]",29
ENSMUSG00000034958,10,"[[81206735, 81230833]]",88
ENSMUSG00000034974,10,"[[81183005, 81192941]]",20
ENSMUSG00000034994,10,"[[81176631, 81182079]]",7
ENSMUSG00000035011,10,"[[81135220, 81152698]]",36
ENSMUSG00000035027,10,"[[81105915, 81133901]]",77
ENSMUSG00000035041,10,"[[81084758, 81098874]]",31
ENSMUSG00000035189,10,"[[88952197, 89344645]]",2477
ENSMUSG00000035206,10,"[[80855275, 80867639]]",14
ENSMUSG00000035215,10,"[[80852961, 80855209]]",2
ENSMUSG00000035242,10,"[[80826656, 80829001]]",4
ENSMUSG00000035262,10,"[[80805243, 80807645]]",2
ENSMUSG00000035278,10,"[[80796415, 80798626]]",4
ENSMUSG00000035311,10,"[[88379132, 88445837]]",349
ENSMUSG00000035351,10,"[[88146992, 88178244]]",252
ENSMUSG00000035365,10,"[[88092858, 88146941]]",381
ENSMUSG00000035383,10,"[[88091072, 88092186]]",7
ENSMUSG00000035397,10,"[[80568924, 80577321]]",15
ENSMUSG00000035459,10,"[[86841605, 87008025]]",772
ENSMUSG00000035478,10,"[[80393103, 80399550]]",16
ENSMUSG00000035486,10,"[[80356459, 80365278]]",13
ENSMUSG00000035504,10,"[[80329953, 80336088]]",3
ENSMUSG00000035529,10,"[[85893133, 85917138]]",136
ENSMUSG00000035595,10,"[[80172944, 80174323]]",6
ENSMUSG00000035620,10,"[[84917616, 85015184]]",640
ENSMUSG00000035621,10,"[[80148272, 80156639]]",10
ENSMUSG00000035640,10,"[[80131291, 80140835]]",15
ENSMUSG00000035673,10,"[[80057419, 80104370]]",83
ENSMUSG00000035681,10,"[[112271121, 112465412]]",1412
ENSMUSG00000035694,10,"[[112163621, 112215601]]",354
ENSMUSG00000035697,10,"[[80016653, 80031045]]",28
ENSMUSG00000035722,10,"[[79996494, 80015455]]",34
ENSMUSG00000035745,10,"[[79970715, 79977124]]",11
ENSMUSG00000035754,10,"[[79960152, 79967596]]",22
ENSMUSG00000035759,10,"[[111298679, 111301166]]",10
ENSMUSG00000035773,10,"[[79916971, 79922001]]",8
ENSMUSG00000035781,10,"[[79911042, 79921208]]",18
ENSMUSG00000035798,10,"[[110944396, 111010066]]",500
ENSMUSG00000035835,10,"[[79861700, 79874634]]",39
ENSMUSG00000035852,10,"[[79820989, 79830097]]",9
ENSMUSG00000035863,10,"[[79793572, 79819558]]",87
ENSMUSG00000035864,10,"[[108500543, 109010982]]",3912
ENSMUSG00000035873,10,"[[108332121, 108413751]]",526
ENSMUSG00000035890,10,"[[79759090, 79766952]]",12
ENSMUSG00000035916,10,"[[107517363, 107720051]]",1604
ENSMUSG00000035923,10,"[[107493357, 107494737]]",2
ENSMUSG00000035948,10,"[[106936167, 107123668]]",1379
ENSMUSG00000035963,10,"[[79639898, 79645738]]",8
ENSMUSG00000036009,10,"[[105763363, 105841378]]",554
ENSMUSG00000036019,10,"[[105190098, 105574435]]",2814
ENSMUSG00000036099,10,"[[93939272, 94035817]]",604
ENSMUSG00000036112,10,"[[93861353, 93891202]]",245
ENSMUSG00000036168,10,"[[93540632, 93582552]]",217
ENSMUSG00000036446,10,"[[97565128, 97572048]]",61
ENSMUSG00000036478,10,"[[96617006, 96618640]]",4
ENSMUSG00000036499,10,"[[95940750, 96042201]]",864
ENSMUSG00000036602,10,"[[102998742, 103030215]]",327
ENSMUSG00000036676,10,"[[100446932, 100487350]]",404
ENSMUSG00000036764,10,"[[63382443, 63408280]]",160
ENSMUSG00000036816,10,"[[63099651, 63100602]]",0
ENSMUSG00000036875,10,"[[62947026, 62973316]]",140
ENSMUSG00000036923,10,"[[62659523, 62726128]]",320
ENSMUSG00000036955,10,"[[62540033, 62578457]]",225
ENSMUSG00000037012,10,"[[62269912, 62379908]]",444
ENSMUSG00000037031,10,"[[62188016, 62231251]]",98
ENSMUSG00000037151,10,"[[61475801, 61580281]]",412
ENSMUSG00000037171,10,"[[61417972, 61424633]]",18
ENSMUSG00000037202,10,"[[61297833, 61303926]]",17
ENSMUSG00000037370,10,"[[24641809, 24712158]]",438
ENSMUSG00000037424,10,"[[24108491, 24109534]]",2
ENSMUSG00000037440,10,"[[23894688, 23904651]]",80
ENSMUSG00000037455,10,"[[23796986, 23826657]]",185
ENSMUSG00000037490,10,"[[22645011, 22702172]]",307
ENSMUSG00000037542,10,"[[21377291, 21395837]]",96
ENSMUSG00000037608,10,"[[20312469, 20340054]]",273
ENSMUSG00000037710,10,"[[71331040, 71344954]]",68
ENSMUSG00000037747,10,"[[70559250, 70655965]]",694
ENSMUSG00000037762,10,"[[70245100, 70284052]]",201
ENSMUSG00000037846,10,"[[67979570, 68041914]]",368
ENSMUSG00000037855,10,"[[67888833, 67912662]]",123
ENSMUSG00000037868,10,"[[67535475, 67540985]]",8
ENSMUSG00000037876,10,"[[67096492, 67255534]]",1267
ENSMUSG00000037990,10,"[[58813359, 59135985]]",1528
ENSMUSG00000038010,10,"[[58497948, 58575851]]",552
ENSMUSG00000038039,10,"[[58255497, 58304161]]",351
ENSMUSG00000038122,10,"[[56017588, 56228689]]",1540
ENSMUSG00000038151,10,"[[44439670, 44458748]]",113
ENSMUSG00000038160,10,"[[44268358, 44363049]]",611
ENSMUSG00000038214,10,"[[43478831, 43512087]]",150
ENSMUSG00000038240,10,"[[43221486, 43464633]]",1508
ENSMUSG00000038248,10,"[[43020996, 43174530]]",840
ENSMUSG00000038280,10,"[[42583835, 42700535]]",606
ENSMUSG00000038302,10,"[[42313494, 42478565]]",971
ENSMUSG00000038332,10,"[[41809935, 41907355]]",709
ENSMUSG00000038417,10,"[[41188525, 41303260]]",614
ENSMUSG00000038446,10,"[[40833182, 40883311]]",316
ENSMUSG00000038481,10,"[[40349308, 40479800]]",910
ENSMUSG00000038510,10,"[[40223744, 40247036]]",141
ENSMUSG00000038522,10,"[[40002625, 40025268]]",112
ENSMUSG00000038583,10,"[[53337667, 53344019]]",59
ENSMUSG00000038587,10,"[[4266380, 4357928]]",518
ENSMUSG00000038594,10,"[[53278084, 53379947]]",803
ENSMUSG00000038602,10,"[[52690533, 53108369]]",2649
ENSMUSG00000038774,10,"[[50592669, 50850590]]",2297
ENSMUSG00000038822,10,"[[45577829, 45711533]]",934
ENSMUSG00000038876,10,"[[29346812, 29362442]]",143
ENSMUSG00000038916,10,"[[29143839, 29199052]]",359
ENSMUSG00000039031,10,"[[26753421, 26917093]]",1112
ENSMUSG00000039089,10,"[[26276123, 26375185]]",633
ENSMUSG00000039116,10,"[[14405263, 14545659]]",947
ENSMUSG00000039166,10,"[[25170200, 25307870]]",862
ENSMUSG00000039232,10,"[[12941118, 12964298]]",146
ENSMUSG00000039462,10,"[[34389981, 34396073]]",54
ENSMUSG00000039480,10,"[[34288378, 34418552]]",869
ENSMUSG00000039485,10,"[[34297442, 34298731]]",2
ENSMUSG00000039497,10,"[[34152219, 34207715]]",382
ENSMUSG00000039508,10,"[[34041509, 34044310]]",18
ENSMUSG00000039531,10,"[[33919306, 33951259]]",266
ENSMUSG00000039552,10,"[[33905111, 33914564]]",71
ENSMUSG00000039697,10,"[[30647519, 30803326]]",1022
ENSMUSG00000039760,10,"[[19621998, 19632915]]",59
ENSMUSG00000039810,10,"[[128544182, 128547774]]",11
ENSMUSG00000039824,10,"[[128494458, 128498685]]",11
ENSMUSG00000039835,10,"[[18318985, 18531970]]",1246
ENSMUSG00000039878,10,"[[128396050, 128401229]]",10
ENSMUSG00000039879,10,"[[17869636, 17948067]]",528
ENSMUSG00000039891,10,"[[17796256, 17843477]]",305
ENSMUSG00000039910,10,"[[17723218, 17724752]]",1
ENSMUSG00000039914,10,"[[128363627, 128368997]]",25
ENSMUSG00000039981,10,"[[7832470, 7868066]]",140
ENSMUSG00000039994,10,"[[128232065, 128252253]]",62
ENSMUSG00000040006,10,"[[7768480, 7780917], [7792526, 7792822]]",56
ENSMUSG00000040009,10,"[[74967177, 75015209]]",110
ENSMUSG00000040021,10,"[[7681214, 7713007]]",214
ENSMUSG00000040033,10,"[[128270576, 128291370]]",87
ENSMUSG00000040034,10,"[[7667503, 7678794]]",71
ENSMUSG00000040043,10,"[[128133648, 128180297]]",270
ENSMUSG00000040054,10,"[[128091582, 128126750]]",159
ENSMUSG00000040127,10,"[[127898518, 127909959]]",37
ENSMUSG00000040195,10,"[[127667144, 127696390]]",162
ENSMUSG00000040249,10,"[[127538953, 127621148]]",177
ENSMUSG00000040258,10,"[[127526109, 127534559]]",13
ENSMUSG00000040280,10,"[[127514967, 127516496]]",2
ENSMUSG00000040287,10,"[[127501686, 127508475]]",22
ENSMUSG00000040345,10,"[[127321964, 127329667]]",17
ENSMUSG00000040354,10,"[[127296297, 127311786]]",56
ENSMUSG00000040415,10,"[[127190967, 127195728]]",8
ENSMUSG00000040441,10,"[[127172541, 127180645]]",22
ENSMUSG00000040462,10,"[[127096250, 127121131]]",108
ENSMUSG00000040502,10,"[[127056574, 127060184]]",8
ENSMUSG00000040521,10,"[[127011603, 127030840]]",79
ENSMUSG00000040624,10,"[[3740364, 3965530]]",1228
